date,v
1950-01-01,2034.0
1951-01-01,2037.87
1952-01-01,2041.74
1953-01-01,2045.62
1954-01-01,2049.51
1955-01-01,2053.41
1956-01-01,2057.31
1957-01-01,2061.22
1958-01-01,2065.14
1959-01-01,2069.07
1960-01-01,2073.0
1961-01-01,2066.2
1962-01-01,2059.42
1963-01-01,2052.67
1964-01-01,2045.94
1965-01-01,2039.22
1966-01-01,2032.54
1967-01-01,2025.87
1968-01-01,2019.22
1969-01-01,2012.6
1970-01-01,2006.0
1971-01-01,2002.66
1972-01-01,1999.33
1973-01-01,1996.0
1974-01-01,1992.84
1975-01-01,1989.69
1976-01-01,1986.54
1977-01-01,1983.4
1978-01-01,1980.26
1979-01-01,1977.13
1980-01-01,1974.0
1981-01-01,1961.23
1982-01-01,1948.54
1983-01-01,1935.94
1984-01-01,1923.41
1985-01-01,1910.97
1986-01-01,1898.61
1987-01-01,1886.33
1988-01-01,1874.12
1989-01-01,1862.0
1990-01-01,1850.0
1991-01-01,1837.96
1992-01-01,1826.0
1993-01-01,1850.34
1994-01-01,1875.0
1995-01-01,1881.96
1996-01-01,1888.95
1997-01-01,1895.96
1998-01-01,1903.0
1999-01-01,1887.29
2000-01-01,1862.14
2001-01-01,1811.15
2002-01-01,1710.04
2003-01-01,1713.57
2004-01-01,1743.4
2005-01-01,1771.68
2006-01-01,1775.92
2007-01-01,1787.54
2008-01-01,1789.76
2009-01-01,1751.62
2010-01-01,1760.22
2011-01-01,1760.23
2012-01-01,1736.1
2013-01-01,1725.87
2014-01-01,1705.43
2015-01-01,1703.47
2016-01-01,1646.51
2017-01-01,1648.81
2018-01-01,1638.44
2019-01-01,1612.12
2020-01-01,1528.56
2021-01-01,1612.12
2022-01-01,1528.56
2023-01-01,1612.12
