date,v
1950-01-01,1948.43
1951-01-01,1945.95
1952-01-01,1943.48
1953-01-01,1941.0
1954-01-01,1938.53
1955-01-01,1936.07
1956-01-01,1933.6
1957-01-01,1931.14
1958-01-01,1928.69
1959-01-01,1926.23
1960-01-01,1923.78
1961-01-01,1911.96
1962-01-01,1900.21
1963-01-01,1888.54
1964-01-01,1876.94
1965-01-01,1865.4
1966-01-01,1853.94
1967-01-01,1842.55
1968-01-01,1831.23
1969-01-01,1819.98
1970-01-01,1765.77
1971-01-01,1761.24
1972-01-01,1780.35
1973-01-01,1775.66
1974-01-01,1848.47
1975-01-01,1778.69
1976-01-01,1773.15
1977-01-01,1779.45
1978-01-01,1722.73
1979-01-01,1753.19
1980-01-01,1757.26
1981-01-01,1699.44
1982-01-01,1714.37
1983-01-01,1709.5
1984-01-01,1705.78
1985-01-01,1701.67
1986-01-01,1700.91
1987-01-01,1689.7
1988-01-01,1692.89
1989-01-01,1705.14
1990-01-01,1705.88
1991-01-01,1715.61
1992-01-01,1686.17
1993-01-01,1683.71
1994-01-01,1682.06
1995-01-01,1657.68
1996-01-01,1688.01
1997-01-01,1695.91
1998-01-01,1675.75
1999-01-01,1679.23
2000-01-01,1680.01
2001-01-01,1667.33
2002-01-01,1664.79
2003-01-01,1656.76
2004-01-01,1659.01
2005-01-01,1635.95
2006-01-01,1620.25
2007-01-01,1610.59
2008-01-01,1604.13
2009-01-01,1560.57
2010-01-01,1554.33
2011-01-01,1560.07
2012-01-01,1537.38
2013-01-01,1523.31
2014-01-01,1515.29
2015-01-01,1494.83
2016-01-01,1507.17
2017-01-01,1497.42
2018-01-01,1501.39
2019-01-01,1508.85
2020-01-01,1398.75
2021-01-01,1439.01
2022-01-01,1436.87
2023-01-01,1438.45
