date,v
1950-01-01,2029.52
1951-01-01,2010.76
1952-01-01,1992.16
1953-01-01,1973.74
1954-01-01,1955.48
1955-01-01,1937.4
1956-01-01,1919.48
1957-01-01,1901.73
1958-01-01,1884.14
1959-01-01,1866.72
1960-01-01,1849.46
1961-01-01,1846.05
1962-01-01,1842.64
1963-01-01,1839.24
1964-01-01,1835.85
1965-01-01,1832.46
1966-01-01,1829.08
1967-01-01,1825.71
1968-01-01,1822.34
1969-01-01,1818.98
1970-01-01,1815.62
1971-01-01,1798.2
1972-01-01,1779.19
1973-01-01,1766.72
1974-01-01,1782.85
1975-01-01,1770.48
1976-01-01,1780.18
1977-01-01,1781.86
1978-01-01,1782.66
1979-01-01,1787.7
1980-01-01,1785.37
1981-01-01,1771.21
1982-01-01,1750.51
1983-01-01,1734.47
1984-01-01,1753.62
1985-01-01,1745.54
1986-01-01,1750.05
1987-01-01,1748.07
1988-01-01,1745.23
1989-01-01,1755.12
1990-01-01,1740.63
1991-01-01,1727.68
1992-01-01,1724.85
1993-01-01,1740.43
1994-01-01,1745.08
1995-01-01,1746.31
1996-01-01,1748.8
1997-01-01,1746.24
1998-01-01,1735.3
1999-01-01,1723.86
2000-01-01,1738.5
2001-01-01,1716.04
2002-01-01,1697.8
2003-01-01,1694.46
2004-01-01,1686.14
2005-01-01,1685.79
2006-01-01,1676.85
2007-01-01,1674.13
2008-01-01,1677.89
2009-01-01,1672.41
2010-01-01,1654.81
2011-01-01,1660.5
2012-01-01,1661.94
2013-01-01,1653.12
2014-01-01,1655.97
2015-01-01,1649.81
2016-01-01,1643.82
2017-01-01,1641.6
2018-01-01,1633.87
2019-01-01,1632.29
2020-01-01,1601.09
2021-01-01,1597.75
2022-01-01,1587.71
2023-01-01,1611.13
