date,v
1950-01-01,2124.19
1951-01-01,2113.82
1952-01-01,2103.51
1953-01-01,2093.24
1954-01-01,2083.03
1955-01-01,2072.86
1956-01-01,2062.75
1957-01-01,2052.68
1958-01-01,2042.66
1959-01-01,2032.69
1960-01-01,2022.77
1961-01-01,2010.78
1962-01-01,1998.85
1963-01-01,1987.0
1964-01-01,1975.22
1965-01-01,1963.51
1966-01-01,1951.86
1967-01-01,1940.29
1968-01-01,1928.78
1969-01-01,1917.35
1970-01-01,1905.98
1971-01-01,1896.68
1972-01-01,1870.38
1973-01-01,1843.28
1974-01-01,1812.78
1975-01-01,1802.58
1976-01-01,1804.18
1977-01-01,1777.78
1978-01-01,1759.08
1979-01-01,1741.78
1980-01-01,1721.68
1981-01-01,1698.78
1982-01-01,1684.18
1983-01-01,1690.38
1984-01-01,1714.38
1985-01-01,1720.78
1986-01-01,1700.68
1987-01-01,1685.08
1988-01-01,1673.18
1989-01-01,1663.98
1990-01-01,1678.38
1991-01-01,1640.58
1992-01-01,1617.28
1993-01-01,1572.88
1994-01-01,1572.78
1995-01-01,1578.28
1996-01-01,1574.58
1997-01-01,1581.78
1998-01-01,1574.18
1999-01-01,1575.38
2000-01-01,1589.1
2001-01-01,1581.24
2002-01-01,1593.65
2003-01-01,1598.22
2004-01-01,1587.8
2005-01-01,1577.68
2006-01-01,1591.64
2007-01-01,1593.66
2008-01-01,1582.51
2009-01-01,1564.16
2010-01-01,1578.19
2011-01-01,1594.7
2012-01-01,1592.52
2013-01-01,1591.51
2014-01-01,1587.92
2015-01-01,1582.11
2016-01-01,1582.19
2017-01-01,1584.38
2018-01-01,1587.5
2019-01-01,1587.41
2020-01-01,1458.99
2021-01-01,1550.99
2022-01-01,1589.98
2023-01-01,1593.29
