date,v
1950-01-01,2363.55
1951-01-01,2373.99
1952-01-01,2384.48
1953-01-01,2395.01
1954-01-01,2405.59
1955-01-01,2416.21
1956-01-01,2426.88
1957-01-01,2437.6
1958-01-01,2448.37
1959-01-01,2459.18
1960-01-01,2470.04
1961-01-01,2471.31
1962-01-01,2472.58
1963-01-01,2473.85
1964-01-01,2475.13
1965-01-01,2476.4
1966-01-01,2477.67
1967-01-01,2478.95
1968-01-01,2480.22
1969-01-01,2481.5
1970-01-01,2482.77
1971-01-01,2463.72
1972-01-01,2444.82
1973-01-01,2426.06
1974-01-01,2407.27
1975-01-01,2388.63
1976-01-01,2370.14
1977-01-01,2351.79
1978-01-01,2333.58
1979-01-01,2315.51
1980-01-01,2297.58
1981-01-01,2275.46
1982-01-01,2277.27
1983-01-01,2260.01
1984-01-01,2264.53
1985-01-01,2262.24
1986-01-01,2242.6
1987-01-01,2236.48
1988-01-01,2226.39
1989-01-01,2177.73
1990-01-01,2175.06
1991-01-01,2180.89
1992-01-01,2185.33
1993-01-01,2157.14
1994-01-01,2152.89
1995-01-01,2148.95
1996-01-01,2179.05
1997-01-01,2159.82
1998-01-01,2158.13
1999-01-01,2129.56
2000-01-01,2135.61
2001-01-01,2141.22
2002-01-01,2119.19
2003-01-01,2111.86
2004-01-01,2091.87
2005-01-01,2077.93
2006-01-01,2070.85
2007-01-01,2066.73
2008-01-01,2066.66
2009-01-01,2054.3
2010-01-01,2051.33
2011-01-01,2047.9
2012-01-01,2032.5
2013-01-01,2034.74
2014-01-01,2025.18
2015-01-01,2005.42
2016-01-01,1998.86
2017-01-01,1976.01
2018-01-01,1967.04
2019-01-01,1972.91
2020-01-01,1836.49
2021-01-01,1990.65
2022-01-01,1999.69
2023-01-01,1993.72
