date,v
1950-01-01,2240.9
1951-01-01,2225.64
1952-01-01,2213.22
1953-01-01,2211.79
1954-01-01,2203.75
1955-01-01,2185.54
1956-01-01,2172.99
1957-01-01,2153.41
1958-01-01,2137.83
1959-01-01,2134.6
1960-01-01,2120.78
1961-01-01,2096.12
1962-01-01,2094.65
1963-01-01,2079.75
1964-01-01,2068.34
1965-01-01,2050.19
1966-01-01,2023.71
1967-01-01,2014.06
1968-01-01,1989.6
1969-01-01,1970.31
1970-01-01,1952.6
1971-01-01,1938.79
1972-01-01,1923.77
1973-01-01,1924.48
1974-01-01,1911.55
1975-01-01,1896.68
1976-01-01,1885.63
1977-01-01,1865.34
1978-01-01,1862.94
1979-01-01,1869.29
1980-01-01,1860.23
1981-01-01,1844.85
1982-01-01,1819.9
1983-01-01,1811.85
1984-01-01,1821.9
1985-01-01,1833.43
1986-01-01,1833.76
1987-01-01,1849.68
1988-01-01,1856.24
1989-01-01,1852.91
1990-01-01,1845.24
1991-01-01,1822.9
1992-01-01,1820.35
1993-01-01,1822.87
1994-01-01,1829.63
1995-01-01,1823.21
1996-01-01,1839.56
1997-01-01,1844.64
1998-01-01,1835.67
1999-01-01,1835.77
2000-01-01,1825.59
2001-01-01,1807.79
2002-01-01,1789.77
2003-01-01,1775.24
2004-01-01,1785.94
2005-01-01,1779.94
2006-01-01,1774.12
2007-01-01,1769.7
2008-01-01,1766.07
2009-01-01,1737.64
2010-01-01,1755.94
2011-01-01,1753.7
2012-01-01,1763.88
2013-01-01,1754.91
2014-01-01,1744.44
2015-01-01,1746.9
2016-01-01,1742.45
2017-01-01,1737.97
2018-01-01,1757.75
2019-01-01,1748.33
2020-01-01,1626.34
2021-01-01,1710.35
2022-01-01,1724.11
2023-01-01,1731.02
