date,v
1950-01-01,2042.67
1951-01-01,2035.01
1952-01-01,2027.39
1953-01-01,2019.79
1954-01-01,2012.22
1955-01-01,2004.68
1956-01-01,1997.17
1957-01-01,1989.69
1958-01-01,1982.23
1959-01-01,1974.8
1960-01-01,1967.4
1961-01-01,1970.21
1962-01-01,1973.03
1963-01-01,1975.85
1964-01-01,1978.67
1965-01-01,1981.5
1966-01-01,1984.33
1967-01-01,1987.16
1968-01-01,1990.0
1969-01-01,1992.85
1970-01-01,1995.7
1971-01-01,1985.38
1972-01-01,1961.03
1973-01-01,1934.2
1974-01-01,1905.31
1975-01-01,1896.52
1976-01-01,1893.39
1977-01-01,1865.93
1978-01-01,1851.46
1979-01-01,1838.78
1980-01-01,1824.23
1981-01-01,1804.88
1982-01-01,1793.77
1983-01-01,1779.0
1984-01-01,1759.87
1985-01-01,1753.62
1986-01-01,1745.03
1987-01-01,1743.76
1988-01-01,1743.24
1989-01-01,1728.05
1990-01-01,1718.47
1991-01-01,1716.02
1992-01-01,1725.45
1993-01-01,1720.39
1994-01-01,1739.74
1995-01-01,1720.27
1996-01-01,1696.87
1997-01-01,1687.45
1998-01-01,1695.53
1999-01-01,1717.4
2000-01-01,1712.74
2001-01-01,1672.85
2002-01-01,1651.26
2003-01-01,1664.54
2004-01-01,1694.95
2005-01-01,1689.97
2006-01-01,1679.24
2007-01-01,1668.87
2008-01-01,1659.46
2009-01-01,1650.78
2010-01-01,1611.29
2011-01-01,1608.31
2012-01-01,1592.61
2013-01-01,1572.7
2014-01-01,1564.51
2015-01-01,1576.67
2016-01-01,1577.06
2017-01-01,1559.22
2018-01-01,1551.45
2019-01-01,1549.12
2020-01-01,1498.8
2021-01-01,1532.48
2022-01-01,1536.15
2023-01-01,1528.94
