date,v
1951-01-01,2600.42
1952-01-01,2586.47
1953-01-01,2572.59
1954-01-01,2558.78
1955-01-01,2545.05
1956-01-01,2531.4
1957-01-01,2517.81
1958-01-01,2504.3
1959-01-01,2490.86
1960-01-01,2477.49
1961-01-01,2457.87
1962-01-01,2438.25
1963-01-01,2394.09
1964-01-01,2389.19
1965-01-01,2403.91
1966-01-01,2423.53
1967-01-01,2242.01
1968-01-01,2325.41
1969-01-01,2354.85
1970-01-01,2222.39
1971-01-01,2320.51
1972-01-01,2335.22
1973-01-01,2310.69
1974-01-01,2291.07
1975-01-01,2335.22
1976-01-01,2349.94
1977-01-01,2320.51
1978-01-01,2345.03
1979-01-01,2369.56
1980-01-01,2384.28
1981-01-01,2428.44
1982-01-01,2374.47
1983-01-01,2330.32
1984-01-01,2364.66
1985-01-01,2364.66
1986-01-01,2399.0
1987-01-01,2405.0
1988-01-01,2411.0
1989-01-01,2416.0
1990-01-01,2422.0
1991-01-01,2419.0
1992-01-01,2415.0
1993-01-01,2389.0
1994-01-01,2364.0
1995-01-01,2338.0
1996-01-01,2313.0
1997-01-01,2256.0
1998-01-01,2299.0
1999-01-01,2277.0
2000-01-01,2263.0
2001-01-01,2242.0
2002-01-01,2250.0
2003-01-01,2235.0
2004-01-01,2232.0
2005-01-01,2157.0
2006-01-01,2165.0
2007-01-01,2128.0
2008-01-01,2095.0
2009-01-01,2074.0
2010-01-01,2069.8
2011-01-01,2050.2
2012-01-01,2027.4
2013-01-01,2021.3
2014-01-01,1994.4
2015-01-01,1993.7
2016-01-01,1977.5
2017-01-01,1963.1
2018-01-01,1955.5
2019-01-01,1929.5
2020-01-01,1825.3
2021-01-01,1915.6
2022-01-01,1962.64
2023-01-01,1949.71
