date,v
1950-01-01,2786.89
1951-01-01,2774.03
1952-01-01,2761.23
1953-01-01,2748.49
1954-01-01,2735.81
1955-01-01,2723.18
1956-01-01,2710.61
1957-01-01,2698.11
1958-01-01,2685.65
1959-01-01,2673.26
1960-01-01,2660.92
1961-01-01,2655.11
1962-01-01,2649.31
1963-01-01,2643.52
1964-01-01,2637.74
1965-01-01,2631.97
1966-01-01,2626.22
1967-01-01,2620.48
1968-01-01,2614.76
1969-01-01,2609.04
1970-01-01,2603.34
1971-01-01,2591.69
1972-01-01,2580.09
1973-01-01,2568.55
1974-01-01,2556.91
1975-01-01,2545.32
1976-01-01,2533.79
1977-01-01,2522.3
1978-01-01,2510.87
1979-01-01,2499.5
1980-01-01,2488.17
1981-01-01,2475.24
1982-01-01,2462.38
1983-01-01,2449.58
1984-01-01,2436.85
1985-01-01,2424.19
1986-01-01,2411.6
1987-01-01,2399.06
1988-01-01,2386.6
1989-01-01,2374.2
1990-01-01,2362.2
1991-01-01,2350.17
1992-01-01,2338.21
1993-01-01,2353.75
1994-01-01,2369.4
1995-01-01,2363.68
1996-01-01,2357.97
1997-01-01,2352.28
1998-01-01,2346.6
1999-01-01,2346.6
2000-01-01,2346.6
2001-01-01,2346.6
2002-01-01,2438.13
2003-01-01,2418.88
2004-01-01,2404.5
2005-01-01,2416.1
2006-01-01,2444.57
2007-01-01,2473.38
2008-01-01,2502.52
2009-01-01,2460.84
2010-01-01,2453.9
2011-01-01,2435.02
2012-01-01,2419.69
2013-01-01,2413.49
2014-01-01,2405.14
2015-01-01,2395.83
2016-01-01,2392.21
2017-01-01,2376.43
2018-01-01,2385.94
2019-01-01,2382.61
2020-01-01,2069.44
2021-01-01,2405.39
2022-01-01,2503.57
2023-01-01,2470.61
