date,v
1993-01-01,1856.79
1994-01-01,1838.79
1995-01-01,1831.49
1996-01-01,1829.35
1997-01-01,1837.64
1998-01-01,1860.95
1999-01-01,1890.65
2000-01-01,1900.41
2001-01-01,1823.26
2002-01-01,1812.36
2003-01-01,1799.21
2004-01-01,1813.59
2005-01-01,1802.68
2006-01-01,1789.1
2007-01-01,1774.68
2008-01-01,1789.28
2009-01-01,1779.33
2010-01-01,1798.81
2011-01-01,1804.78
2012-01-01,1774.42
2013-01-01,1761.22
2014-01-01,1771.8
2015-01-01,1749.72
2016-01-01,1773.19
2017-01-01,1775.64
2018-01-01,1783.56
2019-01-01,1783.15
2020-01-01,1672.85
2021-01-01,1721.58
2022-01-01,1779.41
2023-01-01,1774.15
