date,v
1950-01-01,2427.4
1951-01-01,2401.56
1952-01-01,2376.01
1953-01-01,2350.72
1954-01-01,2325.7
1955-01-01,2300.95
1956-01-01,2276.47
1957-01-01,2252.24
1958-01-01,2228.27
1959-01-01,2204.56
1960-01-01,2181.09
1961-01-01,2154.48
1962-01-01,2117.37
1963-01-01,2086.93
1964-01-01,2098.42
1965-01-01,2084.2
1966-01-01,2057.89
1967-01-01,2020.18
1968-01-01,2007.68
1969-01-01,1987.92
1970-01-01,1972.49
1971-01-01,1940.53
1972-01-01,1915.43
1973-01-01,1884.88
1974-01-01,1851.61
1975-01-01,1811.88
1976-01-01,1824.28
1977-01-01,1806.23
1978-01-01,1787.18
1979-01-01,1775.14
1980-01-01,1756.09
1981-01-01,1734.02
1982-01-01,1722.99
1983-01-01,1709.95
1984-01-01,1698.92
1985-01-01,1675.85
1986-01-01,1656.8
1987-01-01,1633.73
1988-01-01,1628.72
1989-01-01,1605.65
1990-01-01,1582.58
1991-01-01,1553.5
1992-01-01,1564.87
1993-01-01,1538.69
1994-01-01,1534.25
1995-01-01,1528.9
1996-01-01,1515.5
1997-01-01,1506.16
1998-01-01,1503.01
1999-01-01,1490.27
2000-01-01,1464.53
2001-01-01,1457.35
2002-01-01,1448.34
2003-01-01,1443.07
2004-01-01,1442.65
2005-01-01,1431.89
2006-01-01,1452.42
2007-01-01,1453.86
2008-01-01,1446.89
2009-01-01,1406.77
2010-01-01,1425.37
2011-01-01,1427.18
2012-01-01,1406.0
2013-01-01,1395.73
2014-01-01,1400.01
2015-01-01,1401.59
2016-01-01,1395.83
2017-01-01,1388.21
2018-01-01,1380.72
2019-01-01,1372.04
2020-01-01,1313.57
2021-01-01,1341.88
2022-01-01,1340.14
2023-01-01,1335.27
