date,v
1950-01-01,2049.51
1951-01-01,2035.06
1952-01-01,2020.71
1953-01-01,2006.45
1954-01-01,1992.3
1955-01-01,1978.25
1956-01-01,1964.3
1957-01-01,1950.45
1958-01-01,1936.69
1959-01-01,1923.03
1960-01-01,1909.47
1961-01-01,1921.42
1962-01-01,1933.45
1963-01-01,1945.55
1964-01-01,1957.73
1965-01-01,1969.98
1966-01-01,1982.31
1967-01-01,1953.71
1968-01-01,1909.21
1969-01-01,1869.71
1970-01-01,1845.31
1971-01-01,1809.71
1972-01-01,1751.81
1973-01-01,1709.51
1974-01-01,1691.51
1975-01-01,1616.51
1976-01-01,1623.54
1977-01-01,1598.43
1978-01-01,1575.16
1979-01-01,1563.84
1980-01-01,1577.44
1981-01-01,1546.4
1982-01-01,1552.84
1983-01-01,1545.96
1984-01-01,1540.84
1985-01-01,1527.47
1986-01-01,1530.95
1987-01-01,1493.03
1988-01-01,1471.17
1989-01-01,1454.95
1990-01-01,1440.5
1991-01-01,1437.31
1992-01-01,1452.37
1993-01-01,1448.92
1994-01-01,1406.66
1995-01-01,1419.14
1996-01-01,1412.26
1997-01-01,1428.09
1998-01-01,1441.13
1999-01-01,1456.5
2000-01-01,1465.94
2001-01-01,1468.68
2002-01-01,1462.58
2003-01-01,1457.83
2004-01-01,1458.08
2005-01-01,1451.36
2006-01-01,1455.7
2007-01-01,1432.77
2008-01-01,1429.97
2009-01-01,1416.87
2010-01-01,1422.29
2011-01-01,1436.84
2012-01-01,1423.27
2013-01-01,1425.75
2014-01-01,1413.66
2015-01-01,1406.89
2016-01-01,1412.02
2017-01-01,1404.07
2018-01-01,1380.78
2019-01-01,1372.39
2020-01-01,1340.6
2021-01-01,1388.91
2022-01-01,1385.05
2023-01-01,1379.94
