date,v
1950-01-01,2205.05
1951-01-01,2200.88
1952-01-01,2196.82
1953-01-01,2192.87
1954-01-01,2209.89
1955-01-01,2191.84
1956-01-01,2175.73
1957-01-01,2160.69
1958-01-01,2146.08
1959-01-01,2135.55
1960-01-01,2126.31
1961-01-01,2108.09
1962-01-01,2090.92
1963-01-01,2074.02
1964-01-01,2028.38
1965-01-01,2020.67
1966-01-01,2022.06
1967-01-01,2030.89
1968-01-01,1993.21
1969-01-01,1984.97
1970-01-01,1992.91
1971-01-01,1993.01
1972-01-01,1988.91
1973-01-01,1977.11
1974-01-01,1983.21
1975-01-01,1993.01
1976-01-01,2000.21
1977-01-01,1997.51
1978-01-01,1970.31
1979-01-01,1926.71
1980-01-01,1914.91
1981-01-01,1880.91
1982-01-01,1859.81
1983-01-01,1827.71
1984-01-01,1783.71
1985-01-01,1773.81
1986-01-01,1765.71
1987-01-01,1757.71
1988-01-01,1753.71
1989-01-01,1741.71
1990-01-01,1743.61
1991-01-01,1752.61
1992-01-01,1744.71
1993-01-01,1736.71
1994-01-01,1735.61
1995-01-01,1735.91
1996-01-01,1740.43
1997-01-01,1743.21
1998-01-01,1752.44
1999-01-01,1758.4
2000-01-01,1753.09
2001-01-01,1762.65
2002-01-01,1762.22
2003-01-01,1751.27
2004-01-01,1735.05
2005-01-01,1717.97
2006-01-01,1707.05
2007-01-01,1694.87
2008-01-01,1705.07
2009-01-01,1711.16
2010-01-01,1703.21
2011-01-01,1708.59
2012-01-01,1699.22
2013-01-01,1688.11
2014-01-01,1688.15
2015-01-01,1689.96
2016-01-01,1696.84
2017-01-01,1688.79
2018-01-01,1693.5
2019-01-01,1678.23
2020-01-01,1562.68
2021-01-01,1633.47
2022-01-01,1653.44
2023-01-01,1637.99
