date,v
1950-01-01,1991.22
1951-01-01,1991.8
1952-01-01,1992.39
1953-01-01,1992.98
1954-01-01,1993.56
1955-01-01,1994.15
1956-01-01,1994.74
1957-01-01,1995.33
1958-01-01,1995.91
1959-01-01,1996.5
1960-01-01,1997.09
1961-01-01,1996.12
1962-01-01,1989.34
1963-01-01,1985.46
1964-01-01,2010.65
1965-01-01,2010.65
1966-01-01,1986.43
1967-01-01,1969.96
1968-01-01,1954.45
1969-01-01,1936.04
1970-01-01,1920.54
1971-01-01,1886.62
1972-01-01,1871.12
1973-01-01,1855.62
1974-01-01,1849.8
1975-01-01,1781.36
1976-01-01,1778.53
1977-01-01,1770.75
1978-01-01,1775.84
1979-01-01,1753.22
1980-01-01,1734.5
1981-01-01,1728.45
1982-01-01,1721.32
1983-01-01,1711.35
1984-01-01,1707.23
1985-01-01,1701.42
1986-01-01,1685.36
1987-01-01,1692.11
1988-01-01,1695.64
1989-01-01,1695.76
1990-01-01,1672.89
1991-01-01,1654.39
1992-01-01,1653.53
1993-01-01,1652.97
1994-01-01,1673.29
1995-01-01,1678.73
1996-01-01,1677.3
1997-01-01,1673.24
1998-01-01,1663.28
1999-01-01,1662.93
2000-01-01,1651.85
2001-01-01,1637.51
2002-01-01,1630.32
2003-01-01,1624.43
2004-01-01,1625.67
2005-01-01,1615.34
2006-01-01,1610.21
2007-01-01,1606.61
2008-01-01,1602.52
2009-01-01,1581.9
2010-01-01,1587.65
2011-01-01,1579.65
2012-01-01,1567.93
2013-01-01,1560.49
2014-01-01,1556.48
2015-01-01,1554.89
2016-01-01,1554.67
2017-01-01,1548.45
2018-01-01,1546.65
2019-01-01,1536.44
2020-01-01,1528.76
2021-01-01,1526.75
2022-01-01,1512.55
2023-01-01,1496.85
