date,v
1950-01-01,2350.96
1951-01-01,2360.52
1952-01-01,2338.83
1953-01-01,2313.31
1954-01-01,2316.43
1955-01-01,2292.05
1956-01-01,2236.06
1957-01-01,2199.61
1958-01-01,2179.39
1959-01-01,2179.25
1960-01-01,2188.48
1961-01-01,2165.19
1962-01-01,2177.77
1963-01-01,2159.34
1964-01-01,2166.15
1965-01-01,2153.16
1966-01-01,2144.57
1967-01-01,2110.47
1968-01-01,2086.6
1969-01-01,2011.95
1970-01-01,1992.51
1971-01-01,1989.73
1972-01-01,1936.63
1973-01-01,1920.43
1974-01-01,1888.47
1975-01-01,1862.6
1976-01-01,1888.89
1977-01-01,1850.33
1978-01-01,1788.95
1979-01-01,1785.07
1980-01-01,1775.7
1981-01-01,1755.08
1982-01-01,1683.14
1983-01-01,1664.87
1984-01-01,1656.77
1985-01-01,1622.99
1986-01-01,1618.78
1987-01-01,1630.4
1988-01-01,1639.87
1989-01-01,1625.75
1990-01-01,1622.14
1991-01-01,1614.51
1992-01-01,1610.85
1993-01-01,1602.17
1994-01-01,1599.63
1995-01-01,1579.08
1996-01-01,1575.09
1997-01-01,1573.89
1998-01-01,1564.93
1999-01-01,1560.67
2000-01-01,1542.14
2001-01-01,1523.13
2002-01-01,1489.72
2003-01-01,1493.36
2004-01-01,1517.26
2005-01-01,1518.59
2006-01-01,1503.36
2007-01-01,1525.35
2008-01-01,1531.92
2009-01-01,1520.03
2010-01-01,1528.03
2011-01-01,1533.7
2012-01-01,1527.9
2013-01-01,1512.8
2014-01-01,1504.18
2015-01-01,1504.33
2016-01-01,1507.39
2017-01-01,1492.04
2018-01-01,1499.65
2019-01-01,1504.38
2020-01-01,1390.85
2021-01-01,1468.61
2022-01-01,1491.91
2023-01-01,1487.1
