date,v
1950-01-01,2022.62
1951-01-01,2030.69
1952-01-01,2001.24
1953-01-01,2004.87
1954-01-01,2008.71
1955-01-01,2007.26
1956-01-01,1994.68
1957-01-01,1974.74
1958-01-01,1947.15
1959-01-01,1956.21
1960-01-01,1948.19
1961-01-01,1914.14
1962-01-01,1879.16
1963-01-01,1871.34
1964-01-01,1871.56
1965-01-01,1850.01
1966-01-01,1798.18
1967-01-01,1786.99
1968-01-01,1780.21
1969-01-01,1771.32
1970-01-01,1732.69
1971-01-01,1694.95
1972-01-01,1714.61
1973-01-01,1722.84
1974-01-01,1708.99
1975-01-01,1680.07
1976-01-01,1673.54
1977-01-01,1682.71
1978-01-01,1683.74
1979-01-01,1681.38
1980-01-01,1653.51
1981-01-01,1619.91
1982-01-01,1616.49
1983-01-01,1611.05
1984-01-01,1616.8
1985-01-01,1618.95
1986-01-01,1614.0
1987-01-01,1618.48
1988-01-01,1625.11
1989-01-01,1628.65
1990-01-01,1616.97
1991-01-01,1593.45
1992-01-01,1587.69
1993-01-01,1583.98
1994-01-01,1593.49
1995-01-01,1595.38
1996-01-01,1594.88
1997-01-01,1594.05
1998-01-01,1590.17
1999-01-01,1582.4
2000-01-01,1567.9
2001-01-01,1570.7
2002-01-01,1554.57
2003-01-01,1546.06
2004-01-01,1543.6
2005-01-01,1546.39
2006-01-01,1541.07
2007-01-01,1542.77
2008-01-01,1537.81
2009-01-01,1517.31
2010-01-01,1521.83
2011-01-01,1518.52
2012-01-01,1531.42
2013-01-01,1540.17
2014-01-01,1545.64
2015-01-01,1543.13
2016-01-01,1541.27
2017-01-01,1542.26
2018-01-01,1537.13
2019-01-01,1544.63
2020-01-01,1391.63
2021-01-01,1489.71
2022-01-01,1528.88
2023-01-01,1522.8
