date,v
1951-01-01,2329.28
1952-01-01,2319.65
1953-01-01,2310.06
1954-01-01,2300.5
1955-01-01,2290.99
1956-01-01,2281.52
1957-01-01,2272.08
1958-01-01,2262.69
1959-01-01,2253.33
1960-01-01,2244.01
1961-01-01,2234.04
1962-01-01,2224.11
1963-01-01,2214.22
1964-01-01,2204.38
1965-01-01,2194.58
1966-01-01,2184.83
1967-01-01,2175.12
1968-01-01,2165.45
1969-01-01,2155.83
1970-01-01,2113.83
1971-01-01,2114.79
1972-01-01,2116.29
1973-01-01,2117.76
1974-01-01,2119.18
1975-01-01,2120.56
1976-01-01,2121.91
1977-01-01,2123.2
1978-01-01,2124.87
1979-01-01,2126.32
1980-01-01,2126.98
1981-01-01,2127.06
1982-01-01,2126.67
1983-01-01,2124.12
1984-01-01,2053.22
1985-01-01,2070.75
1986-01-01,2059.09
1987-01-01,2017.29
1988-01-01,2005.63
1989-01-01,2047.43
1990-01-01,2025.06
1991-01-01,2055.21
1992-01-01,2082.41
1993-01-01,2102.79
1994-01-01,2068.76
1995-01-01,2051.04
1996-01-01,2048.76
1997-01-01,2045.33
1998-01-01,2044.83
1999-01-01,2039.83
2000-01-01,2038.49
2001-01-01,2030.53
2002-01-01,2020.42
2003-01-01,2018.74
2004-01-01,2003.18
2005-01-01,2052.15
2006-01-01,2036.77
2007-01-01,2025.49
2008-01-01,2013.1
2009-01-01,1989.25
2010-01-01,1931.08
2011-01-01,1950.22
2012-01-01,1989.93
2013-01-01,1996.6
2014-01-01,1949.33
2015-01-01,1934.99
2016-01-01,1942.73
2017-01-01,1946.94
2018-01-01,1961.08
2019-01-01,1917.59
2020-01-01,1735.43
2021-01-01,1853.8
2022-01-01,1881.75
2023-01-01,1893.06
