date,v
1960-01-01,2830.87
1961-01-01,2809.88
1962-01-01,2789.06
1963-01-01,2768.39
1964-01-01,2747.87
1965-01-01,2727.5
1966-01-01,2707.28
1967-01-01,2687.22
1968-01-01,2667.3
1969-01-01,2647.53
1970-01-01,2627.91
1971-01-01,2626.57
1972-01-01,2624.87
1973-01-01,2623.23
1974-01-01,2621.89
1975-01-01,2620.96
1976-01-01,2617.21
1977-01-01,2606.24
1978-01-01,2595.7
1979-01-01,2586.39
1980-01-01,2574.84
1981-01-01,2563.28
1982-01-01,2537.81
1983-01-01,2505.76
1984-01-01,2475.64
1985-01-01,2448.87
1986-01-01,2453.2
1987-01-01,2415.84
1988-01-01,2465.87
1989-01-01,2405.16
1990-01-01,2368.25
1991-01-01,2400.87
1992-01-01,2311.76
1993-01-01,2378.06
1994-01-01,2382.19
1995-01-01,2343.65
1996-01-01,2395.01
1997-01-01,2346.73
1998-01-01,2348.12
1999-01-01,2392.58
2000-01-01,2422.45
2001-01-01,2417.97
2002-01-01,2435.72
2003-01-01,2422.69
2004-01-01,2447.09
2005-01-01,2438.79
2006-01-01,2407.58
2007-01-01,2423.22
2008-01-01,2371.21
2009-01-01,2340.03
2010-01-01,2391.98
2011-01-01,2365.35
2012-01-01,2340.0
2013-01-01,2288.01
2014-01-01,2287.97
2015-01-01,2288.0
2016-01-01,2236.0
2017-01-01,2235.07
2018-01-01,2233.79
2019-01-01,2231.18
2020-01-01,2168.77
2021-01-01,2217.66
2022-01-01,2238.71
2023-01-01,2240.49
