date,v
1980-01-01,2132.18
1981-01-01,2131.2
1982-01-01,2040.82
1983-01-01,2021.39
1984-01-01,1951.42
1985-01-01,1925.18
1986-01-01,1916.43
1987-01-01,1959.19
1988-01-01,1953.36
1989-01-01,1929.06
1990-01-01,1890.19
1991-01-01,1859.09
1992-01-01,1817.31
1993-01-01,1817.31
1994-01-01,1944.61
1995-01-01,1949.47
1996-01-01,1947.55
1997-01-01,1955.76
1998-01-01,1946.41
1999-01-01,1953.86
2000-01-01,1933.63
2001-01-01,1898.84
2002-01-01,1884.63
2003-01-01,1857.09
2004-01-01,1859.2
2005-01-01,1834.57
2006-01-01,1814.36
2007-01-01,1788.11
2008-01-01,1791.66
2009-01-01,1758.65
2010-01-01,1766.88
2011-01-01,1754.22
2012-01-01,1738.77
2013-01-01,1733.94
2014-01-01,1748.94
2015-01-01,1746.17
2016-01-01,1760.72
2017-01-01,1746.41
2018-01-01,1729.06
2019-01-01,1721.13
2020-01-01,1657.7
2021-01-01,1689.43
2022-01-01,1698.45
2023-01-01,1668.16
