date,v
1970-01-01,1838.53
1971-01-01,1840.56
1972-01-01,1843.24
1973-01-01,1846.18
1974-01-01,1849.39
1975-01-01,1852.88
1976-01-01,1857.54
1977-01-01,1872.91
1978-01-01,1845.72
1979-01-01,1859.52
1980-01-01,1874.57
1981-01-01,1872.55
1982-01-01,1869.95
1983-01-01,1873.72
1984-01-01,1878.23
1985-01-01,1884.03
1986-01-01,1882.91
1987-01-01,1885.14
1988-01-01,1881.35
1989-01-01,1886.53
1990-01-01,1904.45
1991-01-01,1923.46
1992-01-01,1890.8
1993-01-01,1892.51
1994-01-01,1924.6
1995-01-01,1923.06
1996-01-01,1912.35
1997-01-01,1918.5
1998-01-01,1971.01
1999-01-01,1986.55
2000-01-01,1993.82
2001-01-01,2036.02
2002-01-01,2008.69
2003-01-01,2035.72
2004-01-01,2062.14
2005-01-01,2039.42
2006-01-01,2051.53
2007-01-01,2074.67
2008-01-01,2049.03
2009-01-01,2044.74
2010-01-01,2062.62
2011-01-01,2036.66
2012-01-01,2009.59
2013-01-01,1930.06
2014-01-01,1999.47
2015-01-01,2042.06
2016-01-01,2040.01
2017-01-01,2034.26
2018-01-01,1987.54
2019-01-01,1982.2
2020-01-01,1935.7
2021-01-01,1899.37
2022-01-01,1955.58
2023-01-01,1958.47
