date,v
1950-01-01,2445.34
1951-01-01,2433.38
1952-01-01,2421.47
1953-01-01,2409.63
1954-01-01,2397.84
1955-01-01,2386.11
1956-01-01,2374.43
1957-01-01,2362.82
1958-01-01,2351.26
1959-01-01,2339.76
1960-01-01,2328.31
1961-01-01,2331.33
1962-01-01,2334.36
1963-01-01,2337.4
1964-01-01,2340.44
1965-01-01,2343.48
1966-01-01,2346.52
1967-01-01,2349.57
1968-01-01,2352.63
1969-01-01,2355.68
1970-01-01,2358.74
1971-01-01,2341.56
1972-01-01,2321.2
1973-01-01,2308.51
1974-01-01,2271.76
1975-01-01,2261.71
1976-01-01,2256.16
1977-01-01,2226.28
1978-01-01,2206.45
1979-01-01,2184.5
1980-01-01,2144.84
1981-01-01,2113.11
1982-01-01,2105.71
1983-01-01,2095.4
1984-01-01,2077.16
1985-01-01,2084.29
1986-01-01,2119.2
1987-01-01,2098.31
1988-01-01,2106.77
1989-01-01,2114.17
1990-01-01,2102.54
1991-01-01,2067.11
1992-01-01,2018.19
1993-01-01,1991.22
1994-01-01,1991.49
1995-01-01,1983.03
1996-01-01,1964.72
1997-01-01,1940.34
1998-01-01,1917.42
1999-01-01,1905.63
2000-01-01,1893.23
2001-01-01,1871.06
2002-01-01,1855.31
2003-01-01,1823.29
2004-01-01,1809.22
2005-01-01,1810.58
2006-01-01,1790.13
2007-01-01,1764.87
2008-01-01,1730.52
2009-01-01,1677.95
2010-01-01,1680.74
2011-01-01,1683.32
2012-01-01,1678.28
2013-01-01,1696.57
2014-01-01,1707.49
2015-01-01,1699.26
2016-01-01,1722.72
2017-01-01,1745.29
2018-01-01,1758.46
2019-01-01,1760.02
2020-01-01,1635.62
2021-01-01,1650.4
2022-01-01,1682.55
2023-01-01,1654.04
