date,v
1981-01-01,1976.61
1982-01-01,2032.46
1983-01-01,2034.56
1984-01-01,2076.71
1985-01-01,2102.0
1986-01-01,2125.81
1987-01-01,2136.35
1988-01-01,2110.75
1989-01-01,2111.06
1990-01-01,2125.71
1991-01-01,2085.04
1992-01-01,2100.42
1993-01-01,2079.98
1994-01-01,2046.26
1995-01-01,2034.56
1996-01-01,2058.07
1997-01-01,2046.71
1998-01-01,2022.18
1999-01-01,2023.15
2000-01-01,2026.9
2001-01-01,1966.31
2002-01-01,1971.49
2003-01-01,1950.39
2004-01-01,1941.95
2005-01-01,1936.17
2006-01-01,1930.76
2007-01-01,1944.89
2008-01-01,1948.9
2009-01-01,1943.17
2010-01-01,1939.01
2011-01-01,1940.07
2012-01-01,1921.0
2013-01-01,1917.56
2014-01-01,1910.48
2015-01-01,1909.51
2016-01-01,1936.31
2017-01-01,1932.07
2018-01-01,1926.48
2019-01-01,1907.12
2020-01-01,1775.49
2021-01-01,1873.47
2022-01-01,1890.0
2023-01-01,1890.21
