date,v
1970-01-01,2434.08
1971-01-01,2433.83
1972-01-01,2433.23
1973-01-01,2431.21
1974-01-01,2428.33
1975-01-01,2425.63
1976-01-01,2422.29
1977-01-01,2420.23
1978-01-01,2419.11
1979-01-01,2418.9
1980-01-01,2418.67
1981-01-01,2418.22
1982-01-01,2418.9
1983-01-01,2420.08
1984-01-01,2421.98
1985-01-01,2424.25
1986-01-01,2426.61
1987-01-01,2428.63
1988-01-01,2431.96
1989-01-01,2435.57
1990-01-01,2436.0
1991-01-01,2437.01
1992-01-01,2434.22
1993-01-01,2433.01
1994-01-01,2432.79
1995-01-01,2434.43
1996-01-01,2437.64
1997-01-01,2437.14
1998-01-01,2438.74
1999-01-01,2440.93
2000-01-01,2445.67
2001-01-01,2445.86
2002-01-01,2448.33
2003-01-01,2451.92
2004-01-01,2456.25
2005-01-01,2457.62
2006-01-01,2455.16
2007-01-01,2459.84
2008-01-01,2481.02
2009-01-01,2502.14
2010-01-01,2506.39
2011-01-01,2520.99
2012-01-01,2543.57
2013-01-01,2549.38
2014-01-01,2569.75
2015-01-01,2573.29
2016-01-01,2570.46
2017-01-01,2579.52
2018-01-01,2593.84
2019-01-01,2605.39
2020-01-01,2527.62
2021-01-01,2480.02
2022-01-01,2430.39
2023-01-01,2382.58
