date,v
1950-01-01,2072.71
1951-01-01,2079.05
1952-01-01,2085.42
1953-01-01,2091.81
1954-01-01,2098.21
1955-01-01,2104.64
1956-01-01,2111.08
1957-01-01,2117.55
1958-01-01,2124.03
1959-01-01,2130.53
1960-01-01,2137.06
1961-01-01,2120.59
1962-01-01,2072.13
1963-01-01,2057.58
1964-01-01,2051.53
1965-01-01,1994.67
1966-01-01,2013.07
1967-01-01,2037.2
1968-01-01,2030.84
1969-01-01,2029.74
1970-01-01,2008.75
1971-01-01,1957.13
1972-01-01,1938.58
1973-01-01,1922.6
1974-01-01,1892.53
1975-01-01,1877.26
1976-01-01,1875.2
1977-01-01,1840.92
1978-01-01,1831.04
1979-01-01,1824.62
1980-01-01,1825.64
1981-01-01,1828.97
1982-01-01,1839.07
1983-01-01,1843.8
1984-01-01,1832.95
1985-01-01,1826.88
1986-01-01,1839.21
1987-01-01,1853.65
1988-01-01,1861.24
1989-01-01,1849.17
1990-01-01,1832.68
1991-01-01,1823.87
1992-01-01,1826.86
1993-01-01,1827.0
1994-01-01,1826.69
1995-01-01,1832.5
1996-01-01,1841.44
1997-01-01,1835.32
1998-01-01,1849.67
1999-01-01,1847.12
2000-01-01,1827.7
2001-01-01,1818.17
2002-01-01,1801.0
2003-01-01,1784.35
2004-01-01,1783.56
2005-01-01,1779.86
2006-01-01,1781.11
2007-01-01,1786.21
2008-01-01,1775.38
2009-01-01,1742.56
2010-01-01,1743.24
2011-01-01,1739.03
2012-01-01,1700.63
2013-01-01,1687.48
2014-01-01,1685.58
2015-01-01,1688.08
2016-01-01,1692.14
2017-01-01,1690.7
2018-01-01,1690.24
2019-01-01,1680.49
2020-01-01,1513.93
2021-01-01,1653.03
2022-01-01,1691.25
2023-01-01,1701.42
