date,v
1950-01-01,2076.03
1951-01-01,2058.21
1952-01-01,2040.55
1953-01-01,2023.04
1954-01-01,2054.08
1955-01-01,2080.22
1956-01-01,2131.8
1957-01-01,2155.4
1958-01-01,2181.06
1959-01-01,2204.68
1960-01-01,2221.71
1961-01-01,2224.18
1962-01-01,2201.06
1963-01-01,2194.54
1964-01-01,2201.91
1965-01-01,2183.09
1966-01-01,2191.09
1967-01-01,2205.02
1968-01-01,2208.87
1969-01-01,2195.24
1970-01-01,2185.23
1971-01-01,2177.13
1972-01-01,2179.55
1973-01-01,2165.11
1974-01-01,2104.96
1975-01-01,2075.87
1976-01-01,2103.72
1977-01-01,2110.37
1978-01-01,2114.44
1979-01-01,2119.27
1980-01-01,2120.53
1981-01-01,2110.79
1982-01-01,2105.62
1983-01-01,2102.05
1984-01-01,2114.67
1985-01-01,2097.38
1986-01-01,2095.29
1987-01-01,2100.66
1988-01-01,2102.84
1989-01-01,2076.7
1990-01-01,2049.07
1991-01-01,2002.95
1992-01-01,1960.31
1993-01-01,1906.05
1994-01-01,1897.0
1995-01-01,1899.48
1996-01-01,1902.66
1997-01-01,1875.14
1998-01-01,1854.67
1999-01-01,1839.17
2000-01-01,1846.72
2001-01-01,1831.42
2002-01-01,1819.0
2003-01-01,1822.58
2004-01-01,1831.02
2005-01-01,1818.7
2006-01-01,1827.1
2007-01-01,1818.5
2008-01-01,1798.4
2009-01-01,1754.0
2010-01-01,1773.4
2011-01-01,1769.3
2012-01-01,1781.3
2013-01-01,1762.9
2014-01-01,1759.6
2015-01-01,1752.2
2016-01-01,1745.5
2017-01-01,1745.3
2018-01-01,1724.6
2019-01-01,1687.8
2020-01-01,1646.4
2021-01-01,1650.9
2022-01-01,1652.13
2023-01-01,1653.9
