date,v
1953-01-01,2484.49
1954-01-01,2520.64
1955-01-01,2557.31
1956-01-01,2594.52
1957-01-01,2632.27
1958-01-01,2670.57
1959-01-01,2709.42
1960-01-01,2748.84
1961-01-01,2788.84
1962-01-01,2829.41
1963-01-01,2870.58
1964-01-01,2779.93
1965-01-01,2900.8
1966-01-01,2882.67
1967-01-01,2918.93
1968-01-01,2973.32
1969-01-01,3039.79
1970-01-01,2918.93
1971-01-01,2913.09
1972-01-01,2907.23
1973-01-01,2901.45
1974-01-01,2895.65
1975-01-01,2889.85
1976-01-01,2884.04
1977-01-01,2878.31
1978-01-01,2872.53
1979-01-01,2866.86
1980-01-01,2860.94
1981-01-01,2876.92
1982-01-01,2889.91
1983-01-01,2907.89
1984-01-01,2903.9
1985-01-01,2878.92
1986-01-01,2907.89
1987-01-01,2876.92
1988-01-01,2830.97
1989-01-01,2728.08
1990-01-01,2674.14
1991-01-01,2658.16
1992-01-01,2636.18
1993-01-01,2653.16
1994-01-01,2637.18
1995-01-01,2645.17
1996-01-01,2634.18
1997-01-01,2579.24
1998-01-01,2485.34
1999-01-01,2492.34
2000-01-01,2509.32
2001-01-01,2496.33
2002-01-01,2461.37
2003-01-01,2421.41
2004-01-01,2389.45
2005-01-01,2348.49
2006-01-01,2343.5
2007-01-01,2303.54
2008-01-01,2216.63
2009-01-01,2167.46
2010-01-01,2153.41
2011-01-01,2126.32
2012-01-01,2110.26
2013-01-01,2100.23
2014-01-01,2070.31
2015-01-01,2077.29
2016-01-01,2062.33
2017-01-01,2012.47
2018-01-01,1987.54
2019-01-01,1963.22
2020-01-01,1904.34
2021-01-01,1911.72
2022-01-01,1881.03
2023-01-01,1910.23
