date,v
1950-01-01,1817.09
1951-01-01,1816.75
1952-01-01,1816.41
1953-01-01,1816.07
1954-01-01,1815.74
1955-01-01,1815.4
1956-01-01,1815.06
1957-01-01,1814.72
1958-01-01,1814.39
1959-01-01,1814.05
1960-01-01,1813.71
1961-01-01,1806.5
1962-01-01,1799.31
1963-01-01,1792.16
1964-01-01,1785.03
1965-01-01,1777.93
1966-01-01,1770.86
1967-01-01,1763.81
1968-01-01,1756.8
1969-01-01,1749.81
1970-01-01,1742.85
1971-01-01,1741.44
1972-01-01,1740.04
1973-01-01,1738.63
1974-01-01,1737.43
1975-01-01,1736.22
1976-01-01,1735.01
1977-01-01,1733.81
1978-01-01,1732.6
1979-01-01,1731.4
1980-01-01,1730.2
1981-01-01,1730.95
1982-01-01,1731.69
1983-01-01,1732.44
1984-01-01,1733.19
1985-01-01,1733.94
1986-01-01,1734.69
1987-01-01,1735.44
1988-01-01,1736.19
1989-01-01,1736.95
1990-01-01,1803.14
1991-01-01,1783.68
1992-01-01,1784.13
1993-01-01,1750.55
1994-01-01,1714.17
1995-01-01,1648.89
1996-01-01,1655.48
1997-01-01,1655.02
1998-01-01,1670.33
1999-01-01,1724.06
2000-01-01,1713.18
2001-01-01,1685.26
2002-01-01,1632.98
2003-01-01,1642.92
2004-01-01,1660.3
2005-01-01,1660.96
2006-01-01,1653.09
2007-01-01,1636.34
2008-01-01,1645.49
2009-01-01,1632.75
2010-01-01,1633.49
2011-01-01,1634.78
2012-01-01,1631.57
2013-01-01,1635.84
2014-01-01,1633.2
2015-01-01,1637.1
2016-01-01,1645.09
2017-01-01,1648.54
2018-01-01,1648.55
2019-01-01,1639.34
2020-01-01,1587.37
2021-01-01,1626.72
2022-01-01,1639.79
2023-01-01,1628.87
