date,v
1970-01-01,2402.93
1971-01-01,2403.88
1972-01-01,2404.71
1973-01-01,2405.46
1974-01-01,2406.17
1975-01-01,2406.82
1976-01-01,2407.82
1977-01-01,2408.72
1978-01-01,2409.52
1979-01-01,2410.22
1980-01-01,2410.81
1981-01-01,2411.49
1982-01-01,2411.75
1983-01-01,2411.3
1984-01-01,2412.46
1985-01-01,2412.95
1986-01-01,2411.46
1987-01-01,2409.2
1988-01-01,2409.04
1989-01-01,2413.43
1990-01-01,2415.43
1991-01-01,2420.41
1992-01-01,2424.21
1993-01-01,2425.41
1994-01-01,2424.77
1995-01-01,2424.5
1996-01-01,2426.21
1997-01-01,2426.75
1998-01-01,2425.72
1999-01-01,2424.59
2000-01-01,2422.82
2001-01-01,2423.37
2002-01-01,2452.13
2003-01-01,2442.08
2004-01-01,2437.73
2005-01-01,2488.87
2006-01-01,2468.85
2007-01-01,2443.11
2008-01-01,2414.35
2009-01-01,2419.85
2010-01-01,2401.76
2011-01-01,2399.66
2012-01-01,2376.47
2013-01-01,2339.6
2014-01-01,2350.53
2015-01-01,2337.55
2016-01-01,2341.18
2017-01-01,2342.97
2018-01-01,2316.81
2019-01-01,2315.55
2020-01-01,2117.78
2021-01-01,2213.21
2022-01-01,2291.71
2023-01-01,2307.51
