date,v
1950-01-01,1972.29
1951-01-01,1982.78
1952-01-01,1989.13
1953-01-01,2010.34
1954-01-01,2035.57
1955-01-01,2056.73
1956-01-01,2073.98
1957-01-01,2089.48
1958-01-01,2093.48
1959-01-01,2106.06
1960-01-01,2103.61
1961-01-01,2055.75
1962-01-01,2005.8
1963-01-01,1974.85
1964-01-01,1957.16
1965-01-01,1951.68
1966-01-01,1947.26
1967-01-01,1929.91
1968-01-01,1906.87
1970-01-01,1850.18
1971-01-01,1816.4
1972-01-01,1814.69
1973-01-01,1788.07
1974-01-01,1734.14
1975-01-01,1680.6
1976-01-01,1664.57
1977-01-01,1644.21
1978-01-01,1615.48
1979-01-01,1593.8
1980-01-01,1590.88
1981-01-01,1590.37
1982-01-01,1575.75
1983-01-01,1560.73
1984-01-01,1552.57
1985-01-01,1535.93
1986-01-01,1520.91
1987-01-01,1499.44
1988-01-01,1496.21
1989-01-01,1491.47
1990-01-01,1485.52
1991-01-01,1476.45
1992-01-01,1482.9
1993-01-01,1472.42
1994-01-01,1480.18
1995-01-01,1490.97
1996-01-01,1506.06
1997-01-01,1491.81
1998-01-01,1488.56
1999-01-01,1486.86
2000-01-01,1473.5
2001-01-01,1463.56
2002-01-01,1445.91
2003-01-01,1437.17
2004-01-01,1458.19
2005-01-01,1444.28
2006-01-01,1440.5
2007-01-01,1439.51
2008-01-01,1439.02
2009-01-01,1430.6
2010-01-01,1430.15
2011-01-01,1430.72
2012-01-01,1421.71
2013-01-01,1426.68
2014-01-01,1438.52
2015-01-01,1438.41
2016-01-01,1451.09
2017-01-01,1451.1
2018-01-01,1451.04
2019-01-01,1456.55
2020-01-01,1402.14
2021-01-01,1442.16
2022-01-01,1442.64
2023-01-01,1438.74
