date,v
1950-01-01,2115.3
1951-01-01,2104.59
1952-01-01,2093.93
1953-01-01,2083.33
1954-01-01,2072.78
1955-01-01,2062.29
1956-01-01,2051.84
1957-01-01,2041.45
1958-01-01,2031.11
1959-01-01,2020.83
1960-01-01,2010.6
1961-01-01,2002.68
1962-01-01,1994.79
1963-01-01,1985.79
1964-01-01,1995.79
1965-01-01,1950.79
1966-01-01,1951.79
1967-01-01,1935.79
1968-01-01,1896.8
1969-01-01,1848.8
1970-01-01,1818.91
1971-01-01,1797.91
1972-01-01,1765.41
1973-01-01,1751.31
1974-01-01,1730.71
1975-01-01,1715.12
1976-01-01,1662.73
1977-01-01,1627.87
1978-01-01,1591.52
1979-01-01,1569.61
1980-01-01,1569.21
1981-01-01,1560.43
1982-01-01,1549.44
1983-01-01,1542.9
1984-01-01,1537.76
1985-01-01,1531.56
1986-01-01,1527.7
1987-01-01,1500.47
1988-01-01,1503.76
1989-01-01,1500.48
1990-01-01,1492.68
1991-01-01,1489.9
1992-01-01,1500.0
1993-01-01,1496.57
1994-01-01,1494.44
1995-01-01,1478.69
1996-01-01,1473.56
1997-01-01,1468.26
1998-01-01,1466.67
1999-01-01,1465.45
2000-01-01,1447.95
2001-01-01,1423.82
2002-01-01,1411.82
2003-01-01,1400.88
2004-01-01,1423.21
2005-01-01,1428.63
2006-01-01,1426.13
2007-01-01,1438.15
2008-01-01,1442.8
2009-01-01,1422.04
2010-01-01,1429.86
2011-01-01,1434.53
2012-01-01,1431.49
2013-01-01,1421.03
2014-01-01,1423.7
2015-01-01,1426.57
2016-01-01,1429.89
2017-01-01,1419.21
2018-01-01,1419.41
2019-01-01,1418.55
2020-01-01,1409.74
2021-01-01,1425.64
2022-01-01,1422.33
2023-01-01,1412.06
