date,v
1970-01-01,1835.4
1971-01-01,1832.24
1972-01-01,1818.02
1973-01-01,1815.74
1974-01-01,1824.04
1975-01-01,1808.53
1976-01-01,1805.37
1977-01-01,1810.71
1978-01-01,1802.01
1979-01-01,1792.93
1980-01-01,1782.26
1981-01-01,1764.48
1982-01-01,1771.69
1983-01-01,1824.43
1984-01-01,1818.02
1985-01-01,1812.09
1986-01-01,1805.87
1987-01-01,1810.16
1988-01-01,1801.66
1989-01-01,1789.06
1990-01-01,1778.02
1991-01-01,1765.94
1992-01-01,1774.56
1993-01-01,1826.01
1994-01-01,1820.51
1995-01-01,1814.67
1996-01-01,1808.2
1997-01-01,1792.97
1998-01-01,1793.66
1999-01-01,1809.46
2000-01-01,1805.71
2001-01-01,1790.54
2002-01-01,1790.37
2003-01-01,1787.81
2004-01-01,1802.16
2005-01-01,1782.46
2006-01-01,1766.32
2007-01-01,1748.36
2008-01-01,1730.16
2009-01-01,1712.64
2010-01-01,1734.3
2011-01-01,1721.7
2012-01-01,1700.58
2013-01-01,1732.22
2014-01-01,1736.06
2015-01-01,1730.22
2016-01-01,1718.05
2017-01-01,1715.77
2018-01-01,1715.51
2019-01-01,1742.29
2020-01-01,1698.4
2021-01-01,1687.95
2022-01-01,1704.64
2023-01-01,1707.52
