date,v
1970-01-01,2311.28
1971-01-01,2346.12
1972-01-01,2337.68
1973-01-01,2283.67
1974-01-01,2338.81
1975-01-01,2304.46
1976-01-01,2281.92
1977-01-01,2308.76
1978-01-01,2255.3
1979-01-01,2242.83
1980-01-01,2229.46
1981-01-01,2216.98
1982-01-01,2194.38
1983-01-01,2189.88
1984-01-01,2218.39
1985-01-01,2206.66
1986-01-01,2189.46
1987-01-01,2188.97
1988-01-01,2188.49
1989-01-01,2217.59
1990-01-01,2213.17
1991-01-01,2203.91
1992-01-01,2193.71
1993-01-01,2155.34
1994-01-01,2170.53
1995-01-01,2151.24
1996-01-01,2117.35
1997-01-01,2171.27
1998-01-01,2131.39
1999-01-01,2180.85
2000-01-01,2188.56
2001-01-01,2072.87
2002-01-01,2087.51
2003-01-01,2104.95
2004-01-01,2113.49
2005-01-01,2131.12
2006-01-01,2103.09
2007-01-01,2124.33
2008-01-01,2143.82
2009-01-01,2108.65
2010-01-01,2140.05
2011-01-01,2111.29
2012-01-01,2113.98
2013-01-01,2144.1
2014-01-01,2095.17
2015-01-01,2106.03
2016-01-01,2175.19
2017-01-01,2132.94
2018-01-01,2170.86
2019-01-01,2169.85
2020-01-01,1851.51
2021-01-01,2036.63
2022-01-01,2094.34
2023-01-01,2095.96
