date,v
1995-01-01,1858.57
1996-01-01,1858.66
1997-01-01,1858.48
1998-01-01,1858.43
1999-01-01,1874.98
2000-01-01,1858.34
2001-01-01,1860.12
2002-01-01,1855.46
2003-01-01,1860.55
2004-01-01,1860.87
2005-01-01,1855.97
2006-01-01,1857.34
2007-01-01,1854.69
2008-01-01,1847.54
2009-01-01,1833.61
2010-01-01,1828.97
2011-01-01,1824.33
2012-01-01,1819.69
2013-01-01,1816.43
2014-01-01,1822.3
2015-01-01,1829.16
2016-01-01,1831.36
2017-01-01,1811.62
2018-01-01,1787.33
2019-01-01,1796.51
2020-01-01,1779.21
2021-01-01,1827.92
2022-01-01,1818.44
2023-01-01,1806.92
