date,v
1950-01-01,1795.04
1951-01-01,1783.63
1952-01-01,1772.3
1953-01-01,1761.04
1954-01-01,1749.85
1955-01-01,1738.73
1956-01-01,1727.68
1957-01-01,1716.71
1958-01-01,1705.8
1959-01-01,1694.96
1960-01-01,1684.19
1961-01-01,1657.94
1962-01-01,1632.11
1963-01-01,1606.67
1964-01-01,1581.64
1965-01-01,1556.99
1966-01-01,1532.73
1967-01-01,1508.84
1968-01-01,1485.33
1969-01-01,1462.18
1970-01-01,1424.4
1971-01-01,1402.34
1972-01-01,1386.59
1973-01-01,1373.15
1974-01-01,1471.11
1975-01-01,1548.87
1976-01-01,1567.22
1977-01-01,1562.21
1978-01-01,1574.08
1979-01-01,1550.26
1980-01-01,1581.96
1981-01-01,1563.33
1982-01-01,1583.16
1983-01-01,1666.11
1984-01-01,1677.51
1985-01-01,1660.36
1986-01-01,1699.29
1987-01-01,1718.94
1988-01-01,1725.15
1989-01-01,1749.8
1990-01-01,1746.93
1991-01-01,1685.66
1992-01-01,1672.32
1993-01-01,1674.36
1994-01-01,1697.43
1995-01-01,1758.79
1996-01-01,1759.81
1997-01-01,1755.13
1998-01-01,1769.46
1999-01-01,1771.1
2000-01-01,1780.0
2001-01-01,1764.59
2002-01-01,1758.15
2003-01-01,1751.64
2004-01-01,1757.32
2005-01-01,1759.23
2006-01-01,1748.29
2007-01-01,1764.18
2008-01-01,1752.01
2009-01-01,1752.41
2010-01-01,1755.05
2011-01-01,1729.59
2012-01-01,1708.6
2013-01-01,1718.77
2014-01-01,1726.29
2015-01-01,1731.76
2016-01-01,1737.48
2017-01-01,1727.05
2018-01-01,1736.84
2019-01-01,1741.3
2020-01-01,1630.84
2021-01-01,1680.51
2022-01-01,1720.24
2023-01-01,1734.94
