date,v
1992-01-01,2330.92
1993-01-01,2338.15
1994-01-01,2285.1
1995-01-01,2280.27
1996-01-01,2255.68
1997-01-01,2351.67
1998-01-01,2346.77
1999-01-01,2235.93
2000-01-01,2196.61
2001-01-01,2223.14
2002-01-01,2177.81
2003-01-01,2214.36
2004-01-01,2195.93
2005-01-01,2180.98
2006-01-01,2168.1
2007-01-01,2145.98
2008-01-01,2148.47
2009-01-01,2138.27
2010-01-01,2149.63
2011-01-01,2132.52
2012-01-01,2119.7
2013-01-01,2113.12
2014-01-01,2104.86
2015-01-01,2086.29
2016-01-01,2081.0
2017-01-01,2075.78
2018-01-01,2067.65
2019-01-01,2062.4
2020-01-01,1966.89
2021-01-01,2064.87
2022-01-01,2079.5
2023-01-01,2086.68
