date,v
1950-01-01,1799.86
1951-01-01,1791.83
1952-01-01,1791.83
1953-01-01,1773.97
1954-01-01,1783.79
1955-01-01,1773.97
1956-01-01,1751.65
1957-01-01,1751.65
1958-01-01,1723.08
1959-01-01,1699.87
1960-01-01,1695.41
1961-01-01,1697.19
1962-01-01,1686.48
1963-01-01,1681.12
1964-01-01,1653.45
1965-01-01,1643.63
1966-01-01,1631.13
1967-01-01,1603.45
1968-01-01,1565.06
1969-01-01,1544.53
1970-01-01,1544.53
1971-01-01,1515.7
1972-01-01,1479.98
1973-01-01,1465.93
1974-01-01,1448.98
1975-01-01,1427.58
1976-01-01,1439.37
1977-01-01,1412.17
1978-01-01,1378.09
1979-01-01,1369.66
1980-01-01,1369.66
1981-01-01,1362.04
1982-01-01,1374.83
1983-01-01,1383.26
1984-01-01,1385.25
1985-01-01,1388.88
1986-01-01,1387.06
1987-01-01,1396.22
1988-01-01,1413.9
1989-01-01,1412.81
1990-01-01,1409.54
1991-01-01,1397.58
1992-01-01,1413.44
1993-01-01,1442.09
1994-01-01,1476.54
1995-01-01,1481.7
1996-01-01,1493.4
1997-01-01,1497.61
1998-01-01,1496.79
1999-01-01,1506.09
2000-01-01,1489.29
2001-01-01,1468.69
2002-01-01,1446.84
2003-01-01,1433.41
2004-01-01,1452.79
2005-01-01,1451.98
2006-01-01,1450.34
2007-01-01,1461.82
2008-01-01,1474.57
2009-01-01,1460.69
2010-01-01,1485.69
2011-01-01,1486.64
2012-01-01,1473.51
2013-01-01,1464.83
2014-01-01,1465.66
2015-01-01,1467.16
2016-01-01,1478.11
2017-01-01,1465.92
2018-01-01,1464.91
2019-01-01,1451.35
2020-01-01,1422.56
2021-01-01,1441.34
2022-01-01,1436.05
2023-01-01,1431.5
