date,v
1960-01-01,2400.31
1961-01-01,2394.97
1962-01-01,2389.64
1963-01-01,2384.32
1964-01-01,2379.02
1965-01-01,2373.72
1966-01-01,2368.44
1967-01-01,2363.17
1968-01-01,2357.91
1969-01-01,2352.66
1970-01-01,2347.43
1971-01-01,2347.39
1972-01-01,2347.31
1973-01-01,2347.24
1974-01-01,2347.25
1975-01-01,2325.96
1976-01-01,2352.1
1977-01-01,2297.71
1978-01-01,2296.96
1979-01-01,2272.57
1980-01-01,2281.14
1981-01-01,2308.26
1982-01-01,2314.73
1983-01-01,2320.02
1984-01-01,2329.53
1985-01-01,2288.44
1986-01-01,2322.73
1987-01-01,2353.85
1988-01-01,2367.72
1989-01-01,2427.13
1990-01-01,2431.63
1991-01-01,2451.91
1992-01-01,2455.58
1993-01-01,2481.9
1994-01-01,2497.84
1995-01-01,2511.49
1996-01-01,2532.52
1997-01-01,2546.79
1998-01-01,2534.39
1999-01-01,2555.8
2000-01-01,2573.56
2001-01-01,2552.79
2002-01-01,2544.31
2003-01-01,2549.31
2004-01-01,2514.88
2005-01-01,2515.02
2006-01-01,2506.41
2007-01-01,2484.23
2008-01-01,2476.73
2009-01-01,2439.86
2010-01-01,2478.71
2011-01-01,2437.54
2012-01-01,2441.53
2013-01-01,2431.17
2014-01-01,2391.59
2015-01-01,2363.25
2016-01-01,2352.18
2017-01-01,2334.04
2018-01-01,2306.45
2019-01-01,2330.77
2020-01-01,2229.11
2021-01-01,2314.75
2022-01-01,2311.42
2023-01-01,2283.18
