date,v
1970-01-01,2535.13
1971-01-01,2535.09
1972-01-01,2428.64
1973-01-01,2551.94
1974-01-01,2569.84
1975-01-01,2541.69
1976-01-01,2537.3
1977-01-01,2533.37
1978-01-01,2611.12
1979-01-01,2704.95
1980-01-01,2798.1
1981-01-01,2718.35
1982-01-01,2424.93
1983-01-01,2769.17
1984-01-01,2788.43
1985-01-01,2759.05
1986-01-01,2758.17
1987-01-01,2710.93
1988-01-01,2734.57
1989-01-01,2803.6
1990-01-01,2663.53
1991-01-01,2712.94
1992-01-01,2729.56
1993-01-01,2647.88
1994-01-01,2699.17
1995-01-01,2693.81
1996-01-01,2638.21
1997-01-01,2565.93
1998-01-01,2616.1
1999-01-01,2579.6
2000-01-01,2583.93
2001-01-01,2482.59
2002-01-01,2471.68
2003-01-01,2461.1
2004-01-01,2466.58
2005-01-01,2413.86
2006-01-01,2398.77
2007-01-01,2383.64
2008-01-01,2365.05
2009-01-01,2345.53
2010-01-01,2326.36
2011-01-01,2300.38
2012-01-01,2292.01
2013-01-01,2293.5
2014-01-01,2269.77
2015-01-01,2235.97
2016-01-01,2220.72
2017-01-01,2216.47
2018-01-01,2209.27
2019-01-01,2199.04
2020-01-01,2095.41
2021-01-01,2107.97
2022-01-01,2172.99
2023-01-01,2177.17
