date,v
1970-01-01,2086.0
1971-01-01,2077.0
1972-01-01,2069.0
1973-01-01,2060.0
1974-01-01,2044.0
1975-01-01,2028.0
1976-01-01,2012.0
1977-01-01,1996.0
1978-01-01,1980.0
1979-01-01,1964.0
1980-01-01,1957.0
1981-01-01,1950.0
1982-01-01,1943.0
1983-01-01,1935.0
1984-01-01,1871.0
1985-01-01,1898.0
1986-01-01,1883.0
1987-01-01,1844.0
1988-01-01,1837.0
1989-01-01,1867.0
1990-01-01,1866.0
1991-01-01,1870.0
1992-01-01,1897.0
1993-01-01,1917.0
1994-01-01,1886.0
1995-01-01,1876.0
1996-01-01,1892.0
1997-01-01,1878.0
1998-01-01,1884.0
1999-01-01,1925.0
2000-01-01,1937.0
2001-01-01,1942.0
2002-01-01,1943.0
2003-01-01,1943.0
2004-01-01,1918.0
2005-01-01,1936.0
2006-01-01,1944.0
2007-01-01,1911.0
2008-01-01,1900.0
2009-01-01,1881.0
2010-01-01,1877.0
2011-01-01,1864.0
2012-01-01,1855.0
2013-01-01,1832.0
2014-01-01,1829.54
2015-01-01,1810.71
2016-01-01,1789.41
2017-01-01,1775.49
2018-01-01,1745.19
2019-01-01,1732.09
2020-01-01,1572.39
2021-01-01,1732.09
2022-01-01,1759.3
2023-01-01,1747.46
