date,v
1950-01-01,2021.98
1951-01-01,2063.8
1952-01-01,2060.12
1953-01-01,2053.91
1954-01-01,2030.68
1955-01-01,2038.46
1956-01-01,2023.37
1957-01-01,1995.38
1958-01-01,1960.95
1959-01-01,1986.87
1960-01-01,1968.41
1961-01-01,1953.61
1962-01-01,1973.51
1963-01-01,1961.96
1964-01-01,1971.53
1965-01-01,1991.91
1966-01-01,2000.82
1967-01-01,1977.72
1968-01-01,1974.18
1969-01-01,1975.34
1970-01-01,1930.72
1971-01-01,1914.99
1972-01-01,1911.75
1973-01-01,1910.32
1974-01-01,1882.34
1975-01-01,1850.8
1976-01-01,1846.91
1977-01-01,1847.02
1978-01-01,1853.67
1979-01-01,1856.07
1980-01-01,1840.47
1981-01-01,1828.64
1982-01-01,1809.88
1983-01-01,1819.48
1984-01-01,1835.54
1985-01-01,1840.8
1986-01-01,1821.1
1987-01-01,1828.61
1988-01-01,1839.12
1989-01-01,1852.08
1990-01-01,1836.18
1991-01-01,1827.74
1992-01-01,1815.51
1993-01-01,1831.55
1994-01-01,1850.24
1995-01-01,1860.37
1996-01-01,1865.89
1997-01-01,1872.51
1998-01-01,1883.08
1999-01-01,1886.01
2000-01-01,1887.58
2001-01-01,1866.69
2002-01-01,1847.99
2003-01-01,1832.54
2004-01-01,1831.55
2005-01-01,1829.11
2006-01-01,1831.26
2007-01-01,1828.84
2008-01-01,1808.99
2009-01-01,1764.89
2010-01-01,1773.37
2011-01-01,1782.51
2012-01-01,1784.7
2013-01-01,1791.31
2014-01-01,1797.12
2015-01-01,1808.72
2016-01-01,1802.6
2017-01-01,1795.58
2018-01-01,1804.19
2019-01-01,1796.65
2020-01-01,1777.88
2021-01-01,1788.7
2022-01-01,1789.59
2023-01-01,1788.88
