,gdph
2014-03-31,100.0
2014-06-30,101.45843909351866
2014-09-30,101.37448214111431
2014-12-31,97.28292604359268
2015-03-31,93.31425833427627
2015-06-30,93.81702308241395
2015-09-30,92.62575171541395
2015-12-31,91.56634126371144
2016-03-31,91.26985085919208
2016-06-30,94.16721645592943
2016-09-30,94.85924866254068
2016-12-31,94.08230239924885
2017-03-31,95.0547821978962
2017-06-30,97.05273025455838
2017-09-30,100.6665733190836
2017-12-31,101.8475719128648
2018-03-31,105.96554177553664
2018-06-30,104.73664215202248
2018-09-30,102.2526687325328
2018-12-31,101.94518797297953
2019-03-31,103.55464903118828
2019-06-30,103.99369705594827
2019-09-30,104.28124428845176
2019-12-31,105.39102296486122
2020-03-31,103.67462120447507
2020-06-30,104.1338180988906
2020-09-30,109.49366982164057
2020-12-31,113.05761807249326
2021-03-31,116.59650844623386
2021-06-30,117.8023548438678
2021-09-30,118.56956127026136
2021-12-31,119.82288119304532
2022-03-31,120.96793225199644
2022-06-30,118.96126645709148
2022-09-30,116.72758729526038
2022-12-31,116.57049270316536
2023-03-31,121.718434378194
2023-06-30,122.27313648515916
2023-09-30,122.56709380224278
2023-12-31,123.1809953604986
2024-03-31,125.4127858757592
2024-06-30,125.32245529388264
2024-09-30,127.82897112917595
2024-12-31,127.6567926891806
2025-03-31,128.36649494426632
2025-06-30,132.23104431399716
2025-09-30,135.16638781972804
2025-12-31,136.4192175904255
2026-03-31,140.50669913524186
2026-06-30,142.3066492880206
