,dy_jst_world,dy_jst_panel_annual_interp,acwi_dist_plus_fee
1975-12-31,3.9795,3.9795,
1976-01-31,3.9623,3.9623,
1976-02-29,3.9463,3.9463,
1976-03-31,3.9292,3.9292,
1976-04-30,3.9126,3.9126,
1976-05-31,3.8954,3.8954,
1976-06-30,3.8788,3.8788,
1976-07-31,3.8617,3.8617,
1976-08-31,3.8445,3.8445,
1976-09-30,3.8279,3.8279,
1976-10-31,3.8108,3.8108,
1976-11-30,3.7942,3.7942,
1976-12-31,3.777,3.777,
1977-01-31,3.8734,3.8734,
1977-02-28,3.9605,3.9605,
1977-03-31,4.0569,4.0569,
1977-04-30,4.1501,4.1501,
1977-05-31,4.2465,4.2465,
1977-06-30,4.3398,4.3398,
1977-07-31,4.4362,4.4362,
1977-08-31,4.5325,4.5325,
1977-09-30,4.6258,4.6258,
1977-10-31,4.7222,4.7222,
1977-11-30,4.8155,4.8155,
1977-12-31,4.9118,4.9118,
1978-01-31,4.9242,4.9242,
1978-02-28,4.9354,4.9354,
1978-03-31,4.9478,4.9478,
1978-04-30,4.9598,4.9598,
1978-05-31,4.9722,4.9722,
1978-06-30,4.9842,4.9842,
1978-07-31,4.9966,4.9966,
1978-08-31,5.009,5.009,
1978-09-30,5.021,5.021,
1978-10-31,5.0334,5.0334,
1978-11-30,5.0454,5.0454,
1978-12-31,5.0578,5.0578,
1979-01-31,5.0079,5.0079,
1979-02-28,4.9628,4.9628,
1979-03-31,4.9129,4.9129,
1979-04-30,4.8646,4.8646,
1979-05-31,4.8148,4.8148,
1979-06-30,4.7665,4.7665,
1979-07-31,4.7166,4.7166,
1979-08-31,4.6667,4.6667,
1979-09-30,4.6184,4.6184,
1979-10-31,4.5685,4.5685,
1979-11-30,4.5202,4.5202,
1979-12-31,4.4704,4.4704,
1980-01-31,4.438,4.438,
1980-02-29,4.4078,4.4078,
1980-03-31,4.3755,4.3755,
1980-04-30,4.3442,4.3442,
1980-05-31,4.3118,4.3118,
1980-06-30,4.2806,4.2806,
1980-07-31,4.2482,4.2482,
1980-08-31,4.2159,4.2159,
1980-09-30,4.1846,4.1846,
1980-10-31,4.1523,4.1523,
1980-11-30,4.121,4.121,
1980-12-31,4.0887,4.0887,
1981-01-31,4.1332,4.1332,
1981-02-28,4.1734,4.1734,
1981-03-31,4.218,4.218,
1981-04-30,4.2611,4.2611,
1981-05-31,4.3056,4.3056,
