,EQ,GOV,IG,SEC,GOLD,EMD,ILB,HY
1975-12-31,4.1488,8.8852,8.9502,8.1848,0.0,10.6801,9.4563,11.9944
1976-01-31,3.8027,8.7664,8.7802,7.9498,0.0,10.5301,9.0195,11.8444
1976-02-29,3.6647,8.6727,8.6702,7.8898,0.0,10.3601,8.5402,11.6744
1976-03-31,3.6499,8.641,8.5952,7.8723,0.0,10.2401,8.1897,11.5544
1976-04-30,3.6441,8.6229,8.4452,7.6773,0.0,10.0601,7.9633,11.3744
1976-05-31,3.6924,8.8007,8.4952,7.8723,0.0,9.9801,8.5901,11.2944
1976-06-30,3.6935,8.8942,8.5302,7.8998,0.0,10.0101,8.2272,11.3244
1976-07-31,3.6372,8.9511,8.4652,7.8073,0.0,9.9401,7.7781,11.2544
1976-08-31,3.698,8.8433,8.3202,7.6448,0.0,9.7601,7.7235,11.0744
1976-09-30,3.6493,8.8016,8.1652,7.4773,0.0,9.5201,7.3725,10.8344
1976-10-31,3.8436,8.9075,8.0802,7.2448,0.0,9.4101,7.1985,10.7244
1976-11-30,3.9361,8.5845,8.0152,7.0973,0.0,9.3501,6.3748,10.6644
1976-12-31,3.8682,8.3979,7.8252,6.7923,0.0,9.2401,6.1335,10.5544
1977-01-31,3.9467,8.5362,7.7952,7.0173,0.0,9.2001,6.868,10.5144
1977-02-28,4.1023,8.4963,7.8552,7.1723,0.0,9.2401,7.7764,10.5544
1977-03-31,4.165,8.3836,7.8852,7.2373,0.0,9.2401,8.0603,10.5544
1977-04-30,4.2874,8.3466,7.8302,7.1398,0.0,9.1901,8.5768,10.5044
1977-05-31,4.3574,8.2659,7.8052,7.2023,0.0,9.1301,8.2557,10.4444
1977-06-30,4.3912,8.2348,7.7052,7.0623,0.0,9.0301,8.0079,10.3444
1977-07-31,4.3979,8.3666,7.6802,7.0898,0.0,8.9901,8.1615,10.3044
1977-08-31,4.5558,8.184,7.6752,7.1823,0.0,8.9401,7.953,10.2544
1977-09-30,4.6763,8.1105,7.6352,7.1673,0.0,8.9201,7.843,10.2344
1977-10-31,4.861,8.1651,7.7402,7.3598,0.0,9.0101,7.988,10.3244
1977-11-30,4.8932,8.1823,7.7902,7.3948,0.0,9.0701,8.2101,10.3844
1977-12-31,4.9776,8.2975,7.8652,7.5023,0.0,9.1101,8.3773,10.4244
1978-01-31,5.2225,8.3871,8.0652,7.7473,0.0,9.2901,8.6472,10.6044
1978-02-28,5.3458,8.4285,8.1102,7.7998,0.0,9.3201,8.1506,10.6344
1978-03-31,5.4042,8.5371,8.1202,7.8198,0.0,9.3401,8.3767,10.6544
1978-04-30,5.217,8.6371,8.2152,7.9273,0.0,9.4401,8.5694,10.7544
1978-05-31,5.0029,8.8049,8.3652,8.1023,0.0,9.6101,9.368,10.9244
1978-06-30,5.0276,8.9429,8.4552,8.2373,0.0,9.7201,9.8362,11.0344
1978-07-31,5.0897,8.9089,8.5152,8.3573,0.0,9.7201,10.0415,11.0344
1978-08-31,4.7963,8.8092,8.3602,8.1748,0.0,9.6001,9.969,10.9144
1978-09-30,4.8316,8.9085,8.3302,8.2098,0.0,9.5401,10.7324,10.8544
1978-10-31,5.0066,9.1816,8.5152,8.3923,0.0,9.7101,11.5433,11.0244
1978-11-30,5.3356,9.2015,8.7052,8.6023,0.0,9.9501,11.3487,11.2644
1978-12-31,5.2752,9.3689,8.8252,8.7823,0.0,10.0601,11.7208,11.3744
1979-01-31,5.1282,9.2999,8.9652,8.9123,0.0,10.2501,11.7444,11.5644
1979-02-28,5.2496,9.5311,8.9452,8.8673,0.0,10.2001,12.5123,11.5144
1979-03-31,5.1948,9.2885,9.0902,8.9748,0.0,10.3801,12.8216,11.6944
1979-04-30,5.1388,9.3526,9.1302,9.0198,0.0,10.4501,13.2531,11.7644
1979-05-31,5.3077,9.3288,9.2602,9.0798,0.0,10.5901,13.1324,11.9044
1979-06-30,5.2507,9.3819,9.1102,8.8098,0.0,10.5001,13.2149,11.8144
1979-07-31,5.2548,9.5197,9.0202,8.7898,0.0,10.4101,13.7383,11.7244
1979-08-31,5.0776,9.6653,9.0652,8.8923,0.0,10.4701,14.3007,11.7844
1979-09-30,5.0737,9.8067,9.2652,9.1673,0.0,10.6601,14.4927,11.9744
1979-10-31,5.3174,10.6714,10.0402,10.1648,0.0,11.5201,15.9112,12.8344
1979-11-30,5.4034,10.7721,10.6502,10.6198,0.0,12.1101,16.0367,13.4244
1979-12-31,5.2412,10.8184,10.6752,10.3773,0.0,12.1801,16.5876,13.4944
1980-01-31,5.1398,11.2514,11.0302,10.7148,0.0,12.5401,17.9372,13.8544
1980-02-29,4.987,12.4944,12.2502,12.2548,0.0,13.6901,19.756,15.0044
1980-03-31,5.5396,12.6841,12.9802,13.0548,0.0,14.5701,20.0356,15.8844
1980-04-30,5.6764,11.4477,12.3902,11.9448,0.0,14.3101,18.0815,15.6244
1980-05-31,5.472,10.8397,11.3552,10.4823,0.0,13.2901,17.3382,14.6044
1980-06-30,5.1832,10.6595,10.9202,9.8948,0.0,12.8301,16.9496,14.1444
1980-07-31,4.9944,10.9726,11.1352,10.1623,0.0,12.7701,16.4423,14.0844
1980-08-31,4.8799,11.5381,11.6702,11.0848,0.0,13.2701,16.9117,14.5844
1980-09-30,4.7984,11.7895,12.1352,11.7073,0.0,13.8201,17.0412,15.1344
1980-10-31,4.6851,12.1901,12.5452,12.0323,0.0,14.3501,17.447,15.6644
1980-11-30,4.5173,12.4114,13.0802,12.7848,0.0,14.7601,17.647,16.0744
1980-12-31,4.6142,12.3216,13.4502,13.1798,0.0,15.2601,17.0226,16.5744
1981-01-31,4.6617,12.5351,13.1952,12.8123,0.0,15.1501,16.6594,16.4644
1981-02-28,4.8598,13.1463,13.6352,13.3523,0.0,15.4901,16.9514,16.8044
1981-03-31,4.7147,13.0059,13.6102,13.3398,0.0,15.4601,15.8193,16.7744
1981-04-30,4.6999,13.6015,13.9952,13.8223,0.0,15.6801,16.2737,16.9944
1981-05-31,4.8241,13.7247,14.4102,14.3498,0.0,16.0701,15.2747,17.3844
1981-06-30,4.8299,13.9315,14.0502,13.8298,0.0,15.9201,15.4955,17.2344
1981-07-31,4.9832,14.5166,14.5502,14.4998,0.0,16.2901,17.33,17.6044
1981-08-31,4.9974,14.9938,14.8902,15.0548,0.0,16.4601,18.0586,17.7744
1981-09-30,5.5114,15.3342,15.4802,15.5348,0.0,17.0401,18.5794,18.3544
1981-10-31,5.473,14.6096,15.5302,15.2998,0.0,17.2301,16.6216,18.5444
1981-11-30,5.3648,13.4914,14.5802,13.8098,0.0,16.5101,14.3792,17.8244
1981-12-31,5.3554,13.9545,14.6652,13.9623,0.0,16.6701,14.5147,17.9844
1982-01-31,5.6777,14.1077,15.4152,14.8623,0.0,17.2201,13.9779,18.5344
1982-02-28,5.8428,13.9123,15.5002,14.8498,0.0,17.3001,13.1925,18.6144
1982-03-31,6.065,13.7971,14.9752,14.3073,0.0,16.9401,12.5856,18.2544
1982-04-30,5.804,13.5632,14.8952,14.2773,0.0,16.9001,11.9864,18.2144
1982-05-31,5.8247,13.3764,14.7252,14.0673,0.0,16.7601,12.0858,18.0744
1982-06-30,6.2078,13.9058,15.1402,14.6148,0.0,17.0401,13.0511,18.3544
1982-07-31,6.237,13.4637,14.9802,14.3548,0.0,16.9201,11.6361,18.2344
1982-08-31,6.2322,12.6963,14.2902,13.4748,0.0,16.4401,10.1489,17.7544
1982-09-30,5.5964,11.8692,13.5602,12.7348,0.0,15.7501,8.0299,17.0644
1982-10-31,5.167,11.0753,12.7002,11.5798,0.0,14.8501,7.0856,16.1644
1982-11-30,4.9698,11.0514,12.2652,11.1523,0.0,14.4201,6.6023,15.7344
1982-12-31,4.9283,10.7973,12.2602,11.0698,0.0,14.2601,5.5169,15.5744
1983-01-31,4.7702,11.0042,12.1402,10.9148,0.0,14.0601,5.8382,15.3744
1983-02-28,4.698,10.6852,12.2552,11.0873,0.0,14.0701,5.0885,15.3844
1983-03-31,4.549,10.77,11.9452,10.8423,0.0,13.7301,5.5544,15.0444
1983-04-30,4.3881,10.5282,11.6752,10.6773,0.0,13.4101,5.625,14.7244
1983-05-31,4.223,10.839,11.5502,10.6198,0.0,13.2101,5.6234,14.5244
1983-06-30,4.1707,10.9812,11.8302,11.0598,0.0,13.4901,4.8359,14.8044
1983-07-31,4.1677,11.4838,12.0452,11.4573,0.0,13.5101,5.5489,14.8244
1983-08-31,4.298,11.6651,12.3502,11.8198,0.0,13.7601,5.9076,15.0744
1983-09-30,4.1866,11.3229,12.2352,11.6623,0.0,13.6701,5.713,14.9844
1983-10-31,4.192,11.4408,12.1302,11.5348,0.0,13.5801,6.0459,14.8944
1983-11-30,4.2736,11.3348,12.2852,11.6773,0.0,13.7301,6.3893,15.0444
1983-12-31,4.3127,11.4686,12.4352,11.8173,0.0,13.8701,7.2461,15.1844
1984-01-31,4.2788,11.3557,12.2002,11.6148,0.0,13.7701,7.6433,15.0844
1984-02-29,4.5455,11.5748,12.1102,11.6548,0.0,13.7101,8.4613,15.0244
1984-03-31,4.5616,11.8985,12.5552,12.1173,0.0,14.1101,9.1941,15.4244
1984-04-30,4.5833,12.0945,12.8352,12.4323,0.0,14.4301,9.1918,15.7444
1984-05-31,4.6403,12.8222,13.2852,13.0573,0.0,14.8601,10.1149,16.1744
1984-06-30,4.7747,12.8254,13.5752,13.3573,0.0,15.1701,10.0906,16.4844
1984-07-31,4.8533,12.3385,13.5702,13.2498,0.0,15.2701,9.2035,16.5844
1984-08-31,4.4749,12.0912,13.0252,12.6823,0.0,14.7501,9.1256,16.0644
1984-09-30,4.4431,11.7783,12.7802,12.4848,0.0,14.4701,8.8566,15.7844
1984-10-31,4.5085,11.2173,12.5602,12.1398,0.0,14.0601,8.2227,15.3744
1984-11-30,4.4979,11.0237,12.1602,11.5748,0.0,13.6001,7.9682,14.9144
1984-12-31,4.5775,11.0133,12.0402,11.3848,0.0,13.5201,7.8944,14.8344
1985-01-31,4.4134,10.781,11.9452,11.2673,0.0,13.3801,7.0655,14.6944
1985-02-28,4.2104,11.3071,11.9552,11.3723,0.0,13.3501,7.9491,14.6644
1985-03-31,4.2698,11.1767,12.4002,11.7898,0.0,13.8101,7.9286,15.1244
1985-04-30,4.2562,10.8951,12.1452,11.4073,0.0,13.6301,7.5353,14.9444
1985-05-31,4.1716,10.1744,11.7102,10.8548,0.0,13.2701,6.4458,14.5844
1985-06-30,4.0974,10.1271,10.9452,10.1023,0.0,12.5201,6.5513,13.8344
1985-07-31,4.0381,10.2333,10.9752,10.1673,0.0,12.5501,6.7157,13.8644
1985-08-31,4.1459,10.0402,11.0502,10.2598,0.0,12.6201,6.3639,13.9344
1985-09-30,4.2586,10.0436,11.0502,10.2598,0.0,12.6001,6.3276,13.9144
1985-10-31,4.2213,9.8307,10.9652,10.1573,0.0,12.4801,6.052,13.7944
1985-11-30,3.9899,9.5363,10.5452,9.7423,0.0,12.1101,5.9429,13.4244
1985-12-31,3.8109,9.171,10.1452,9.2673,0.0,11.7001,5.6584,13.0144
