,capital_avg_bn,gdp_bn,ltr_bn,cash_bn,val_bn,rest_bn,needed_bn,ltr_pct_gdp,cash_pct_gdp,val_pct_gdp,rest_pct_gdp,needed_pct_gdp,price_pct_gdp,net_pct_gdp,needed_gdp_pct_gdp,net_gdp_pct_gdp
1976,3618.667,6574.573,553.467,259.729,145.706,148.032,297.836,8.418,3.951,2.216,2.252,4.53,4.468,3.888,4.595,3.823
1977,4023.777,7433.987,380.221,276.67,-215.891,319.442,546.698,5.115,3.722,-2.904,4.297,7.354,1.393,-2.239,6.65,-1.535
1978,4498.628,8804.317,412.114,327.566,-151.89,236.439,744.754,4.681,3.721,-1.725,2.685,8.459,0.96,-3.778,8.644,-3.964
1979,5367.092,10181.253,657.493,414.596,263.297,-20.399,552.991,6.458,4.072,2.586,-0.2,5.431,2.386,1.026,7.66,-1.202
1980,6469.613,11479.788,474.849,531.375,-219.125,162.599,555.097,4.136,4.629,-1.909,1.416,4.835,-0.492,-0.699,6.765,-2.629
1981,7104.275,11872.918,-5.212,713.589,-857.762,138.961,-0.922,-0.044,6.01,-7.225,1.17,-0.008,-6.054,-0.036,2.015,-2.059
1982,7785.028,11747.181,2122.603,842.412,941.23,338.96,-238.43,18.069,7.171,8.012,2.885,-2.03,10.898,20.099,-0.706,18.775
1983,8953.704,11993.277,787.242,790.029,87.875,-90.662,11.478,6.564,6.587,0.733,-0.756,0.096,-0.023,6.468,1.548,5.016
1984,10010.754,12459.41,781.75,948.409,79.414,-246.073,-45.137,6.274,7.612,0.637,-1.975,-0.362,-1.338,6.637,3.064,3.211
1985,11744.968,13050.699,3413.735,1027.828,1350.644,1035.263,1291.225,26.157,7.876,10.349,7.933,9.894,18.282,16.264,4.173,21.985
1986,14492.257,15397.827,3743.828,971.335,1825.467,947.026,1851.943,24.314,6.308,11.855,6.15,12.027,18.006,12.287,15.566,8.748
1987,17182.943,17532.755,1167.536,1093.675,-703.804,777.666,2655.375,6.659,6.238,-4.014,4.436,15.145,0.421,-8.486,12.725,-6.066
1988,19621.576,19597.683,2545.976,1325.687,770.521,449.767,1271.467,12.991,6.765,3.932,2.295,6.488,6.227,6.503,11.148,1.844
1989,22230.381,20467.635,2734.081,1394.183,1312.622,27.276,528.629,13.358,6.812,6.413,0.133,2.583,6.546,10.775,4.717,8.641
1990,24045.57,22991.896,-434.673,1593.058,-2420.846,393.115,2998.779,-1.891,6.929,-10.529,1.71,13.043,-8.819,-14.933,12.163,-14.053
1991,25901.586,23998.499,4232.369,1726.416,1166.056,1339.896,1171.269,17.636,7.194,4.859,5.583,4.881,10.442,12.755,4.625,13.011
1992,27618.827,25631.433,1323.33,1699.781,282.577,-659.028,812.411,5.163,6.632,1.102,-2.571,3.17,-1.469,1.993,7.093,-1.93
1993,29792.584,26071.136,5543.617,1603.643,2917.367,1022.606,1157.005,21.263,6.151,11.19,3.922,4.438,15.112,16.826,1.944,19.32
1994,33213.944,28066.274,-679.318,1798.855,-2312.146,-166.028,2502.855,-2.42,6.409,-8.238,-0.592,8.918,-8.83,-11.338,8.726,-11.147
1995,37033.836,31338.014,7277.325,2074.224,3515.797,1687.305,2317.666,23.222,6.619,11.219,5.384,7.396,16.603,15.826,13.03,10.192
1996,40962.505,32064.861,2348.868,2077.318,55.805,215.744,402.428,7.325,6.478,0.174,0.673,1.255,0.847,6.07,2.929,4.396
1997,43460.368,31954.804,3556.163,2098.153,2805.375,-1347.365,-2380.109,11.129,6.566,8.779,-4.216,-7.448,4.563,18.577,-0.468,11.596
1998,46651.399,31780.796,6129.532,1927.756,4029.466,172.309,1998.444,19.287,6.066,12.679,0.542,6.288,13.221,12.999,-0.802,20.088
1999,53304.079,32829.036,4641.693,2213.358,-687.0,3115.335,379.152,14.139,6.742,-2.093,9.49,1.155,7.397,12.984,5.269,8.87
2000,56898.305,33965.806,-873.654,2555.623,1385.609,-4814.886,-799.332,-2.572,7.524,4.079,-14.176,-2.353,-10.096,-0.219,5.702,-8.275
2001,55331.016,33747.839,-1158.357,2391.733,-2645.016,-905.074,329.297,-3.432,7.087,-7.838,-2.682,0.976,-10.519,-4.408,-1.056,-2.377
2002,55514.741,35048.256,2089.206,2447.497,-2912.797,2554.506,3934.248,5.961,6.983,-8.311,7.289,11.225,-1.022,-5.264,5.989,-0.028
2003,62922.367,39288.474,10740.575,2553.431,593.138,7594.006,8245.355,27.338,6.499,1.51,19.329,20.987,20.839,6.351,18.291,9.047
2004,74371.666,44264.898,7791.134,2957.557,905.677,3927.9,7155.531,17.601,6.681,2.046,8.874,16.165,10.92,1.436,20.038,-2.436
2005,81013.693,47938.462,3751.154,3087.329,-754.222,1418.047,-189.739,7.825,6.44,-1.573,2.958,-0.396,1.385,8.221,13.473,-5.648
2006,88878.28,51965.656,9657.84,3541.58,-393.708,6509.968,8775.167,18.585,6.815,-0.758,12.527,16.886,11.77,1.699,13.796,4.789
2007,103112.918,58574.303,9233.648,4039.608,-783.159,5977.198,10919.565,15.764,6.897,-1.337,10.204,18.642,8.867,-2.878,21.074,-5.31
