,ltr,cash,val,rest,val_EQ,val_GOLD,val_bonds,yield_pct
1976-01-31,0.032403,0.0061028,0.0015232,0.0247769,0.0010734,-0.0052849,0.0057348,7.2435002
1976-02-29,0.0140976,0.0060096,0.0066551,0.001433,0.0010637,0.0016881,0.0039033,7.1653001
1976-03-31,0.0095405,0.0059636,0.001834,0.0017429,0.001121,-0.0011138,0.0018268,7.1439319
1976-04-30,0.0075633,0.0059422,0.0034603,-0.0018392,0.0010933,-0.000529,0.002896,7.0948127
1976-05-31,-0.0079867,0.0059137,-0.0055784,-0.008322,0.0011202,-0.0011349,-0.0055638,7.2062552
1976-06-30,0.0085235,0.0059996,-0.0023465,0.0048704,0.0010799,-0.0005688,-0.0028577,7.2661658
1976-07-31,0.0002502,0.0060168,-0.003757,-0.0020097,0.0011469,-0.0046245,-0.0002793,7.2396856
1976-08-31,0.0105566,0.0060561,0.0024121,0.0020884,0.001141,-0.0037738,0.0050449,7.1996325
1976-09-30,0.0196322,0.0060221,0.00943,0.0041801,0.0010957,0.0047002,0.003634,7.1796346
1976-10-31,0.0011434,0.0059439,0.0025558,-0.0073563,0.0011253,0.0022656,-0.0008351,7.1568047
1976-11-30,0.0191659,0.0059619,0.0131629,4.11e-05,0.0010565,0.0028329,0.0092734,7.0270041
1976-12-31,0.0380583,0.0058424,0.0109136,0.0213023,0.0010737,0.0016082,0.0082317,6.8896771
1977-01-31,-0.0066086,0.0056311,-0.011085,-0.0011548,-0.0064577,-0.0009201,-0.0037072,6.8607728
1977-02-28,0.0057939,0.0057262,-0.0020434,0.0021111,-0.005562,0.0036631,-0.0001445,6.9233732
1977-03-31,0.0092023,0.0057341,-0.0008532,0.0043215,-0.0059673,0.0027397,0.0023744,6.8941921
1977-04-30,0.0110377,0.0057212,-0.0048744,0.0101909,-0.0055737,-0.0012314,0.0019306,6.8770694
1977-05-31,0.0046168,0.0057222,-0.004551,0.0034456,-0.0056484,-0.0012181,0.0023155,6.877346
1977-06-30,0.0186008,0.0057351,-0.0028561,0.0157218,-0.0052663,-9.09e-05,0.0025011,6.8817366
1977-07-31,0.0038157,0.0057058,-0.0081054,0.0062154,-0.0054465,0.0005497,-0.0032086,6.9393452
1977-08-31,0.0103755,0.0057719,-4.53e-05,0.0046489,-0.0052627,0.0005301,0.0046873,6.9032359
1977-09-30,0.0140523,0.0057361,0.0002699,0.0080463,-0.0049766,0.0027048,0.0025417,6.887689
1977-10-31,0.0013287,0.005706,-0.0060176,0.0016403,-0.0050514,0.0023398,-0.0033061,6.9503352
1977-11-30,0.0091269,0.0057666,-0.0062834,0.0096437,-0.0047282,-0.0003473,-0.0012079,6.9858695
1977-12-31,0.0131515,0.0058027,-0.007209,0.0145579,-0.0048291,0.0019544,-0.0043344,7.0793017
1978-01-31,-0.0028461,0.0058833,-0.0030677,-0.0056616,-0.0005995,0.0032103,-0.0056785,7.1866244
1978-02-28,0.0060752,0.0059592,-4.54e-05,0.0001613,-0.000528,0.0023016,-0.001819,7.2081583
1978-03-31,0.0141215,0.0059786,-0.0040356,0.0121784,-0.0005781,-0.0004301,-0.0030274,7.2474608
1978-04-30,0.0051108,0.0060036,-0.0084272,0.0075345,-0.000578,-0.0037471,-0.0041022,7.3003456
1978-05-31,0.0019032,0.0060589,-0.0024687,-0.001687,-0.0006219,0.0048043,-0.0066512,7.4104989
1978-06-30,0.0035493,0.0061054,-0.0060944,0.0035383,-0.0006099,-0.0005734,-0.0049111,7.4367141
1978-07-31,0.0315275,0.0061719,0.0041858,0.0211698,-0.0006359,0.0050393,-0.0002176,7.4436252
1978-08-31,0.0257972,0.0061192,0.0067835,0.0128946,-0.0006625,0.002667,0.0047789,7.2873331
1978-09-30,0.0121942,0.0060421,0.0003592,0.0057929,-0.0006414,0.0031304,-0.0021298,7.3099033
1978-10-31,0.0052145,0.0060491,-0.0022256,0.0013911,-0.0006644,0.0077201,-0.0092813,7.4420692
1978-11-30,-0.0296568,0.0061403,-0.0212348,-0.0145623,-0.0006278,-0.0173538,-0.0032531,7.4605845
1978-12-31,0.0186182,0.0063032,0.0025072,0.0098079,-0.0006453,0.0091408,-0.0059883,7.6960187
1979-01-31,0.0145988,0.0064377,0.0043887,0.0037725,0.0023269,0.0025838,-0.000522,7.7600375
1979-02-28,0.0016037,0.0064174,0.0021681,-0.0069819,0.0021515,0.0052192,-0.0052026,7.7975745
