,usd_per_hour,reinvested_hours,spent_value_hours,dist_12m_hours,dist_12m_usd_idx,dist_12m_real_idx,dist_12m_hours_idx
1975-12-31,1.8915,10000.0,10000.0,,,,
1976-01-31,1.8974,10297.1792,10234.5287,,,,
1976-02-29,1.9098,10376.0165,10251.0962,,,,
1976-03-31,1.9081,10484.8088,10296.9878,,,,
1976-04-30,1.9208,10494.3498,10245.2967,,,,
1976-05-31,1.9365,10326.6915,10022.1739,,,,
1976-06-30,1.9506,10339.559,9974.6385,,,,
1976-07-31,1.974,10219.5369,9799.7116,,,,
1976-08-31,1.9976,10206.0093,9727.6491,,,,
1976-09-30,2.0063,10362.9847,9817.9633,,,,
1976-10-31,2.0217,10296.2084,9696.8897,,,,
1976-11-30,2.0294,10455.4469,9788.3275,,,,
1976-12-31,2.0538,10731.9735,9988.6814,709.4432,100.0,100.0,100.0
1977-01-31,2.0741,10556.9739,9770.6279,705.8182,100.2231,99.8038,99.489
1977-02-28,2.0892,10541.5731,9700.6668,701.0652,100.2923,99.3848,98.8191
1977-03-31,2.1095,10536.7355,9640.7756,695.1793,100.2842,98.8639,97.9894
1977-04-30,2.134,10531.2901,9580.8228,689.3192,100.312,98.341,97.1634
1977-05-31,2.1521,10491.0002,9489.7117,682.7383,100.2401,97.7332,96.2358
1977-06-30,2.1741,10579.7191,9515.2351,676.3629,100.2118,97.1753,95.3372
1977-07-31,2.2065,10464.2203,9357.8112,671.1153,100.373,96.8008,94.5975
1977-08-31,2.2165,10525.8632,9358.7621,666.6053,100.5681,96.4685,93.9618
1977-09-30,2.2276,10621.704,9389.96,662.1077,100.7689,96.1577,93.3278
1977-10-31,2.2677,10447.5486,9183.4497,657.4206,101.032,95.9033,92.6671
1977-11-30,2.3064,10366.5248,9059.8344,653.419,101.4937,95.8199,92.1031
1977-12-31,2.3527,10297.015,8947.0186,650.2838,102.155,95.9251,91.6612
1978-01-31,2.3945,10088.3832,8714.3199,646.3805,102.7841,95.9759,91.111
1978-02-28,2.4219,10035.0969,8616.7887,642.1699,103.388,96.0489,90.5174
1978-03-31,2.4555,10038.7147,8568.5138,638.3041,104.0767,96.1893,89.9725
1978-04-30,2.4856,9967.831,8457.086,635.1843,104.8976,96.4367,89.5328
1978-05-31,2.4798,10010.1181,8441.6615,633.0853,105.8038,96.7068,89.2369
1978-06-30,2.5298,9847.1612,8253.6919,630.4963,106.7082,96.9516,88.872
1978-07-31,2.597,9899.51,8246.5157,626.1522,107.4174,96.9917,88.2597
1978-08-31,2.6636,9904.4284,8200.2802,621.3895,108.2259,97.1121,87.5883
1978-09-30,2.6966,9903.0856,8149.7772,617.2805,109.2291,97.3509,87.0092
1978-10-31,2.7794,9658.2583,7900.3612,612.8939,110.3152,97.6142,86.3908
1978-11-30,2.7544,9461.341,7691.9091,609.8931,111.4111,97.888,85.9679
1978-12-31,2.7763,9563.0966,7725.7842,606.4391,112.315,97.9796,85.481
1979-01-31,2.8156,9568.1336,7680.2509,603.0549,113.2214,98.038,85.004
1979-02-28,2.8309,9531.6762,7602.0448,600.9379,114.3096,98.2055,84.7056
1979-03-31,2.847,9627.6709,7629.2507,598.1649,115.1847,98.1636,84.3147
1979-04-30,2.8451,9676.0556,7618.6053,595.9403,116.0584,98.0921,84.0011
1979-05-31,2.8571,9712.2239,7598.095,592.6288,116.796,97.8863,83.5344
1979-06-30,2.8895,9778.5741,7601.3113,589.2157,117.4114,97.5591,83.0533
1979-07-31,2.9619,9731.0596,7516.4935,586.7018,118.1823,97.331,82.6989
1979-08-31,2.9858,9812.2961,7531.3295,585.7037,119.0968,97.1848,82.5582
1979-09-30,3.017,9968.2551,7602.7802,584.3504,119.9375,96.9608,82.3675
1979-10-31,3.0251,9378.2405,7108.1588,586.3312,121.2309,97.0468,82.6467
1979-11-30,3.0299,9448.6273,7113.6475,585.7069,122.0746,96.7555,82.5587
1979-12-31,3.0776,9751.1236,7292.0635,584.1605,122.7908,96.3297,82.3407
1980-01-31,3.1146,10053.4352,7468.3924,584.369,123.8934,96.1278,82.3701
1980-02-29,3.1099,9560.5857,7056.0469,588.4011,125.7854,96.4628,82.9384
1980-03-31,3.0682,8905.0676,6526.2433,591.8246,127.3088,96.5174,83.421
1980-04-30,3.0842,9463.8644,6883.6925,588.4438,127.4059,95.554,82.9445
1980-05-31,3.2059,9747.8818,7040.2257,583.6305,127.5259,94.6279,82.266
1980-06-30,3.2785,10192.9002,7312.2049,581.1694,128.2824,94.1737,81.9191
1980-07-31,3.3185,10022.8968,7144.363,581.1949,129.4994,94.1008,81.9227
1980-08-31,3.3176,9920.3345,7024.9811,582.5645,130.9631,94.1991,82.1157
1980-09-30,3.3695,9854.1844,6931.2003,582.6821,132.2043,94.1419,82.1323
1980-10-31,3.3844,9717.2895,6788.5402,580.1295,132.8993,93.6694,81.7725
1980-11-30,3.3555,9768.2636,6776.715,580.4099,134.1093,93.5809,81.812
1980-12-31,3.3533,9630.9199,6634.2712,581.6432,135.3429,93.5423,81.9859
1981-01-31,3.3844,9403.8637,6429.4114,581.768,136.3303,93.3362,82.0035
1981-02-28,3.3163,9376.6155,6361.5118,580.8766,136.9128,92.8311,81.8778
1981-03-31,3.3371,9588.0067,6453.3502,579.2826,137.5334,92.4502,81.6531
1981-04-30,3.3112,9478.707,6329.6931,586.6586,140.0317,93.3889,82.6928
1981-05-31,3.2489,9526.6068,6310.0114,596.3193,142.4188,94.272,84.0545
1981-06-30,3.2041,9641.7496,6333.5114,604.0453,143.9518,94.5851,85.1436
1981-07-31,3.1691,9515.3662,6198.1629,612.7177,145.4152,94.7397,86.366
1981-08-31,3.1518,9479.3307,6121.2178,619.4844,146.3596,94.5411,87.3198
1981-09-30,3.2402,9009.4943,5766.4049,626.0138,147.4309,94.4169,88.2402
1981-10-31,3.2843,9215.4344,5844.0845,629.3068,147.8585,93.9413,88.7043
1981-11-30,3.3372,9759.7788,6133.3249,629.3709,147.8091,93.2229,88.7134
1981-12-31,3.3529,9625.1061,5996.6441,634.7599,149.1033,93.3753,89.473
1982-01-31,3.3459,9464.7356,5843.5712,641.4022,150.5599,93.6544,90.4092
1982-02-28,3.2946,9512.2092,5818.5497,643.8262,151.0505,93.3749,90.7509
1982-03-31,3.2526,9733.5458,5898.2054,648.0982,151.7415,93.2913,91.3531
1982-04-30,3.2514,10080.5114,6051.1585,650.1923,152.0011,92.9451,91.6483
1982-05-31,3.3207,9988.0668,5940.4935,650.7417,152.4092,92.6724,91.7257
1982-06-30,3.2415,9922.4304,5846.8881,656.2202,153.8249,92.9886,92.4979
1982-07-31,3.2102,10282.8967,6001.3214,656.0991,153.9621,92.5811,92.4809
1982-08-31,3.1743,11191.2871,6470.1191,654.9594,153.7931,92.043,92.3202
1982-09-30,3.1898,11653.1303,6677.3904,654.9305,153.5891,91.5587,92.3161
1982-10-31,3.1784,12533.8479,7120.7883,657.3418,153.7458,91.2938,92.656
1982-11-30,3.1869,12895.7441,7267.5801,664.5227,154.8558,91.6317,93.6682
1982-12-31,3.2517,13035.2022,7288.2929,666.4933,154.9235,91.3818,93.946
1983-01-31,3.2734,13235.4433,7345.7207,664.1756,154.0869,90.6045,93.6193
1983-02-28,3.2547,13285.2621,7319.4735,662.8982,153.6307,90.0756,93.4392
1983-03-31,3.2394,13620.6234,7449.1632,662.1975,153.4163,89.6857,93.3404
1983-04-30,3.2351,14181.0277,7699.1549,660.5163,152.9618,89.1264,93.1035
1983-05-31,3.2544,14140.4153,7622.63,661.1921,152.861,88.8127,93.1987
1983-06-30,3.234,14181.7469,7590.2679,658.7071,152.2532,88.2716,92.8485
1983-07-31,3.2368,13958.5444,7416.8114,659.5451,152.5545,88.2702,92.9666
1983-08-31,3.2156,13938.2649,7351.1949,661.3935,153.1431,88.4306,93.2271
1983-09-30,3.2372,14142.516,7402.9517,661.0169,153.2413,88.2906,93.174
1983-10-31,3.2834,13989.1717,7268.5529,661.1923,153.6904,88.3523,93.1988
1983-11-30,3.2667,14230.7019,7338.9758,659.6005,153.6405,88.0944,92.9744
1983-12-31,3.2559,14214.9647,7276.6908,658.9664,153.5092,87.7432,92.885
1984-01-31,3.2517,14407.7371,7319.4494,660.0906,153.6875,87.5399,93.0435
1984-02-29,3.3032,14307.7296,7213.9407,661.2375,154.1467,87.4669,93.2051
1984-03-31,3.3723,14053.535,7031.9885,662.9179,155.067,87.6368,93.442
1984-04-30,3.3714,13905.0463,6903.8527,665.0696,156.1116,87.8999,93.7453
1984-05-31,3.3347,13443.3706,6622.1125,667.8133,157.085,88.1286,94.132
1984-06-30,3.3434,13411.326,6551.8665,667.1438,157.365,87.9732,94.0377
1984-07-31,3.2912,13575.4427,6576.8781,665.1732,157.1211,87.5294,93.7599
1984-08-31,3.293,14262.1891,6852.3484,661.9904,156.6838,86.985,93.3113
1984-09-30,3.2475,14612.9629,6964.6541,662.8024,156.913,86.8165,93.4257
1984-10-31,3.2326,15030.0924,7106.8842,662.5103,156.6471,86.3769,93.3845
1984-11-30,3.275,15186.2784,7125.384,660.9066,156.3031,85.9023,93.1585
1984-12-31,3.2413,15438.9753,7188.892,660.4268,156.1334,85.5289,93.0909
1985-01-31,3.2152,15909.3773,7350.9114,660.793,156.0739,85.2531,93.1425
1985-02-28,3.1739,15876.7013,7280.4283,663.6928,156.2232,85.0812,93.5512
1985-03-31,3.1795,16071.2129,7312.7906,665.1005,155.775,84.5705,93.7496
1985-04-30,3.2698,16123.065,7280.0371,663.106,154.9008,83.8484,93.4685
1985-05-31,3.2739,16856.3223,7553.4651,658.1162,153.4772,82.8299,92.7652
1985-06-30,3.3073,17270.203,7682.9338,655.4958,152.7121,82.1669,92.3958
1985-07-31,3.3741,17257.9145,7623.3129,654.4958,152.7961,81.9749,92.2549
1985-08-31,3.4279,17269.2079,7574.3412,654.1095,153.2187,81.9745,92.2004
1985-09-30,3.4158,17398.7531,7577.5803,652.788,153.5592,81.9346,92.0141
1985-10-31,3.5346,17447.9467,7545.6706,649.7625,153.9631,81.9338,91.5877
1985-11-30,3.5746,17970.7225,7718.147,646.7408,154.333,81.8974,91.1617
1985-12-31,3.6179,18497.0583,7891.1463,641.3286,154.411,81.6867,90.3989
1986-01-31,3.6617,18598.1538,7884.0404,635.3942,154.6269,81.5355,89.5624
1986-02-28,3.7536,19237.1974,8103.7051,623.6091,153.8647,80.9211,87.9012
1986-03-31,3.8187,20311.9427,8505.5081,611.0122,153.0301,80.3396,86.1256
1986-04-30,3.847,20734.2604,8634.3283,602.7497,152.9788,80.2077,84.961
1986-05-31,3.9078,20162.0292,8350.9276,597.4905,153.908,80.5841,84.2196
1986-06-30,3.9087,20613.2972,8490.4556,590.4048,154.2006,80.6212,83.2209
1986-07-31,3.9785,20637.7978,8454.4807,581.3571,153.9512,80.3784,81.9455
1986-08-31,4.0435,21258.1955,8662.1023,571.8708,153.5449,80.0606,80.6084
1986-09-30,4.0613,20767.4357,8418.5476,564.0898,153.7654,80.055,79.5116
1986-10-31,4.084,20521.5127,8274.7901,557.834,153.9435,80.0424,78.6298
1986-11-30,4.0699,20983.3521,8415.8076,551.6751,153.931,79.9506,77.7617
