,cash_yield_20y,tr_in_hours_20y
1995-12-31,7.372,5.012
1996-01-31,7.362,4.942
1996-02-29,7.353,4.847
1996-03-31,7.344,4.734
1996-04-30,7.337,4.76
1996-05-31,7.328,4.826
1996-06-30,7.32,4.819
1996-07-31,7.311,4.801
1996-08-31,7.303,4.849
1996-09-30,7.295,4.849
1996-10-31,7.286,4.984
1996-11-30,7.277,5.04
1996-12-31,7.269,4.896
1997-01-31,7.261,5.006
1997-02-28,7.253,5.146
1997-03-31,7.245,5.058
1997-04-30,7.238,5.091
1997-05-31,7.23,5.227
1997-06-30,7.222,5.301
1997-07-31,7.212,5.551
1997-08-31,7.203,5.442
1997-09-30,7.194,5.52
1997-10-31,7.184,5.519
1997-11-30,7.174,5.599
1997-12-31,7.163,5.786
1998-01-31,7.151,6.039
1998-02-28,7.139,6.157
1998-03-31,7.126,6.236
1998-04-30,7.113,6.291
1998-05-31,7.1,6.234
1998-06-30,7.086,6.414
1998-07-31,7.072,6.364
1998-08-31,7.058,6.121
1998-09-30,7.045,6.214
1998-10-31,7.03,6.385
1998-11-30,7.015,6.566
1998-12-31,6.999,6.599
1999-01-31,6.983,6.643
1999-02-28,6.968,6.631
1999-03-31,6.953,6.68
1999-04-30,6.937,6.766
1999-05-31,6.922,6.64
1999-06-30,6.909,6.669
1999-07-31,6.894,6.682
1999-08-31,6.88,6.561
1999-09-30,6.866,6.465
1999-10-31,6.851,6.8
1999-11-30,6.834,6.912
1999-12-31,6.819,6.901
2000-01-31,6.803,6.596
2000-02-29,6.786,6.981
2000-03-31,6.769,7.45
2000-04-30,6.751,7.028
2000-05-31,6.737,6.825
2000-06-30,6.723,6.692
2000-07-31,6.709,6.734
2000-08-31,6.693,6.943
2000-09-30,6.677,6.894
2000-10-31,6.66,6.942
2000-11-30,6.643,6.814
2000-12-31,6.625,6.957
2001-01-31,6.605,7.147
2001-02-28,6.582,7.029
2001-03-31,6.56,6.849
2001-04-30,6.537,7.033
2001-05-31,6.514,6.982
2001-06-30,6.491,6.926
2001-07-31,6.465,6.962
2001-08-31,6.438,6.882
2001-09-30,6.41,6.934
2001-10-31,6.383,6.939
2001-11-30,6.358,6.76
2001-12-31,6.333,6.825
2002-01-31,6.304,6.926
2002-02-28,6.276,6.951
2002-03-31,6.248,6.83
2002-04-30,6.22,6.626
2002-05-31,6.193,6.633
2002-06-30,6.163,6.56
2002-07-31,6.134,6.217
2002-08-31,6.107,5.912
2002-09-30,6.082,5.621
2002-10-31,6.06,5.32
2002-11-30,6.039,5.205
2002-12-31,6.017,5.143
2003-01-31,5.998,4.959
2003-02-28,5.979,4.952
2003-03-31,5.959,4.804
2003-04-30,5.941,4.727
2003-05-31,5.92,4.848
2003-06-30,5.899,4.861
2003-07-31,5.878,4.82
2003-08-31,5.858,4.874
2003-09-30,5.838,4.87
2003-10-31,5.818,4.907
2003-11-30,5.797,4.836
2003-12-31,5.776,4.908
2004-01-31,5.755,4.846
2004-02-29,5.732,4.933
2004-03-31,5.709,5.092
2004-04-30,5.686,4.984
2004-05-31,5.662,5.145
2004-06-30,5.637,5.146
