,EQ,GOV,IG,SEC,GOLD,EMD,ILB,HY
1975-12-31,3.9795,8.8852,9.675,8.7175,0.0,10.6801,,11.9944
1976-01-31,3.9623,8.7664,9.505,8.4825,0.0,10.5301,,11.8444
1976-02-29,3.9463,8.6727,9.395,8.4225,0.0,10.3601,,11.6744
1976-03-31,3.9292,8.641,9.32,8.405,0.0,10.2401,,11.5544
1976-04-30,3.9126,8.6229,9.17,8.21,0.0,10.0601,,11.3744
1976-05-31,3.8954,8.8007,9.22,8.405,0.0,9.9801,,11.2944
1976-06-30,3.8788,8.8942,9.255,8.4325,0.0,10.0101,,11.3244
1976-07-31,3.8617,8.9511,9.19,8.34,0.0,9.9401,,11.2544
1976-08-31,3.8445,8.8433,9.045,8.1775,0.0,9.7601,,11.0744
1976-09-30,3.8279,8.8016,8.89,8.01,0.0,9.5201,,10.8344
1976-10-31,3.8108,8.9075,8.805,7.7775,0.0,9.4101,,10.7244
1976-11-30,3.7942,8.5845,8.74,7.63,0.0,9.3501,,10.6644
1976-12-31,3.777,8.3979,8.55,7.325,0.0,9.2401,,10.5544
1977-01-31,3.8734,8.5362,8.52,7.55,0.0,9.2001,,10.5144
1977-02-28,3.9605,8.4963,8.58,7.705,0.0,9.2401,,10.5544
1977-03-31,4.0569,8.3836,8.61,7.77,0.0,9.2401,,10.5544
1977-04-30,4.1501,8.3466,8.555,7.6725,0.0,9.1901,,10.5044
1977-05-31,4.2465,8.2659,8.53,7.735,0.0,9.1301,,10.4444
1977-06-30,4.3398,8.2348,8.43,7.595,0.0,9.0301,,10.3444
1977-07-31,4.4362,8.3666,8.405,7.6225,0.0,8.9901,,10.3044
1977-08-31,4.5325,8.184,8.4,7.715,0.0,8.9401,,10.2544
1977-09-30,4.6258,8.1105,8.36,7.7,0.0,8.9201,,10.2344
1977-10-31,4.7222,8.1651,8.465,7.8925,0.0,9.0101,,10.3244
1977-11-30,4.8155,8.1823,8.515,7.9275,0.0,9.0701,,10.3844
1977-12-31,4.9118,8.2975,8.59,8.035,0.0,9.1101,,10.4244
1978-01-31,4.9242,8.3871,8.79,8.28,0.0,9.2901,,10.6044
1978-02-28,4.9354,8.4285,8.835,8.3325,0.0,9.3201,,10.6344
1978-03-31,4.9478,8.5371,8.845,8.3525,0.0,9.3401,,10.6544
1978-04-30,4.9598,8.6371,8.94,8.46,0.0,9.4401,,10.7544
1978-05-31,4.9722,8.8049,9.09,8.635,0.0,9.6101,,10.9244
1978-06-30,4.9842,8.9429,9.18,8.77,0.0,9.7201,,11.0344
1978-07-31,4.9966,8.9089,9.24,8.89,0.0,9.7201,,11.0344
1978-08-31,5.009,8.8092,9.085,8.7075,0.0,9.6001,,10.9144
1978-09-30,5.021,8.9085,9.055,8.7425,0.0,9.5401,,10.8544
1978-10-31,5.0334,9.1816,9.24,8.925,0.0,9.7101,,11.0244
1978-11-30,5.0454,9.2015,9.43,9.135,0.0,9.9501,,11.2644
1978-12-31,5.0578,9.3689,9.55,9.315,0.0,10.0601,,11.3744
1979-01-31,5.0079,9.2999,9.69,9.445,0.0,10.2501,,11.5644
1979-02-28,4.9628,9.5311,9.67,9.4,0.0,10.2001,,11.5144
1979-03-31,4.9129,9.2885,9.815,9.5075,0.0,10.3801,,11.6944
1979-04-30,4.8646,9.3526,9.855,9.5525,0.0,10.4501,,11.7644
