,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
EQ,3.87,4.39,4.99,4.74,4.26,4.37,4.47,3.99,3.65,3.32,2.73,2.49,2.35,2.14,2.39,2.61,2.59,2.43,2.28,2.19,2.09,1.93,1.68,1.5,1.43,1.54,1.9,2.12,2.11,2.13,2.16,2.21,2.89,3.14,2.64,2.6,2.88,2.71,2.4,2.39,2.5,2.44,2.33,2.43,2.26,1.92,2.43,2.07,2.06,1.93,
GOV,8.74,8.3,8.84,9.79,11.72,13.9,12.8,11.13,11.84,10.28,7.94,8.43,8.7,7.78,8.71,8.13,7.39,6.12,6.82,6.45,5.98,5.4,4.31,4.52,4.85,4.19,3.97,3.46,3.69,3.43,3.85,3.9,3.36,2.96,2.75,2.58,1.8,2.0,1.87,1.39,1.04,1.38,1.69,1.09,0.41,0.76,2.05,2.98,3.14,3.36,
IG,9.09,8.5,9.11,10.16,12.8,15.11,14.95,12.8,13.45,12.04,9.71,9.98,10.27,9.72,9.84,9.29,8.56,7.57,8.29,7.9,7.71,7.56,6.88,7.46,7.99,7.52,7.15,6.22,6.01,5.65,6.03,6.02,6.54,6.3,5.49,5.15,4.3,4.67,4.51,4.44,4.19,4.09,4.36,3.88,3.04,3.05,4.57,5.34,5.4,5.68,
SEC,8.13,7.74,8.71,9.84,12.14,14.67,13.98,11.8,12.85,11.09,8.51,8.96,9.37,9.11,9.1,8.33,7.37,6.36,7.49,7.14,6.94,6.89,6.01,6.5,7.07,6.03,5.48,4.59,4.72,4.85,5.39,5.22,4.67,4.25,3.71,3.34,2.53,2.92,3.07,2.99,2.76,3.0,3.56,2.92,1.79,1.95,3.79,4.7,4.76,4.8,
GOLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EMD,9.87,9.09,9.61,10.81,13.79,16.16,16.23,13.67,14.31,12.84,10.51,10.7,10.95,10.3,10.48,9.92,9.1,8.05,8.74,8.32,8.17,7.98,7.34,7.99,8.48,8.07,7.92,6.89,6.51,6.18,6.6,6.6,7.57,7.42,6.16,5.78,5.06,5.22,4.97,5.12,4.84,4.56,4.92,4.5,3.72,3.51,5.19,5.98,5.87,6.12,
ILB,0.0,0.0,0.0,15.0,16.0,14.69,9.57,5.63,8.8,6.49,2.44,5.32,6.54,7.36,8.89,7.6,6.15,5.02,6.04,5.71,5.83,5.05,3.37,4.78,6.43,5.1,3.58,4.34,4.48,5.16,5.53,5.1,5.62,1.31,2.74,3.65,1.55,1.58,2.03,0.53,1.49,2.58,3.27,2.16,0.59,3.76,8.49,5.83,4.9,4.62,
HY,11.18,10.4,10.92,12.12,15.1,17.48,17.55,14.99,15.62,14.15,11.83,12.01,12.26,11.61,11.79,11.24,10.41,9.36,10.06,9.64,9.49,9.3,8.66,9.31,9.8,9.38,9.24,8.2,7.83,7.5,7.91,7.92,8.88,8.73,7.47,7.1,6.37,6.54,6.29,6.43,6.15,5.87,6.23,5.81,5.04,4.83,6.51,7.3,7.19,7.43,
GMP,7.15,6.92,7.37,7.83,8.34,10.18,10.7,8.88,9.49,8.67,6.63,6.45,6.76,6.23,6.69,6.63,6.15,5.32,5.52,5.51,5.09,4.8,4.1,4.22,4.48,4.33,4.39,4.05,3.97,3.83,4.0,3.93,4.25,4.22,3.6,3.33,2.88,2.99,2.83,2.66,2.56,2.63,2.78,2.53,1.94,1.96,3.02,3.28,3.25,3.23,3.15
"equity weight, %",25.27,24.63,25.25,23.8,25.94,27.35,21.48,25.83,25.34,24.1,28.17,33.57,32.41,34.05,33.17,29.83,28.79,29.38,34.32,29.73,34.05,35.69,37.12,39.91,40.95,37.32,33.36,30.88,33.56,34.46,37.87,40.27,36.24,25.8,30.52,32.39,30.98,35.41,37.11,40.04,37.49,41.05,43.23,40.5,38.37,45.59,46.19,43.65,44.14,44.22,45.7
