,Governments,Companies: interest,Companies: dividends,Households: mortgage interest,Emerging-market issuers
1975,46.4,34.3,13.5,5.9,0.0
1976,48.0,32.3,14.3,5.4,0.0
1977,45.2,32.1,16.5,6.1,0.0
1978,45.4,32.2,15.3,7.1,0.0
1979,44.2,33.8,13.5,8.5,0.0
1980,43.3,35.1,12.0,9.6,0.0
1981,44.5,35.4,10.1,10.0,0.0
1982,43.4,34.9,11.6,10.1,0.0
1983,46.1,32.7,10.3,10.9,0.0
1984,46.2,33.4,9.0,11.3,0.0
1985,45.3,33.1,10.6,11.0,0.0
1986,43.4,33.9,11.6,11.1,0.0
1987,41.3,34.9,11.2,12.5,0.0
1988,41.8,34.2,11.0,13.0,0.0
1989,39.0,35.0,12.6,13.4,0.0
1990,40.4,34.7,11.1,13.8,0.0
1991,40.4,33.9,12.8,13.0,0.0
1992,40.0,34.1,12.4,13.4,0.0
1993,36.6,35.3,15.1,13.0,0.0
1994,39.3,34.6,11.5,14.6,0.0
1995,35.9,34.7,14.0,13.7,1.7
1996,33.4,35.5,14.3,14.3,2.4
1997,29.5,37.6,15.1,15.4,2.4
1998,24.7,41.7,14.9,16.2,2.5
1999,26.3,39.9,13.9,17.6,2.3
2000,23.1,42.3,13.6,18.0,3.0
2001,21.0,43.7,13.6,18.1,3.6
2002,19.9,44.6,14.6,16.9,3.9
2003,22.4,40.3,17.5,15.8,4.0
2004,23.2,38.6,18.5,15.6,4.1
2005,21.4,37.9,19.9,16.5,4.2
2006,21.4,36.9,21.7,16.1,3.8
2007,19.7,38.4,23.1,14.7,4.1
2008,15.1,45.9,19.6,14.4,4.9
2009,21.9,37.5,23.4,12.9,4.3
2010,22.5,37.8,23.4,11.2,5.1
2011,20.9,37.0,27.4,9.5,5.2
2012,16.6,34.6,34.9,8.3,5.6
2013,20.4,35.2,29.6,9.3,5.5
2014,14.2,34.8,35.6,9.4,6.1
2015,13.3,37.3,33.2,10.0,6.2
2016,13.6,34.8,36.0,9.9,5.8
2017,13.5,31.9,38.8,9.5,6.2
2018,14.6,35.5,32.0,10.7,7.2
2019,11.1,31.2,42.3,8.9,6.5
2020,5.1,31.7,49.9,6.7,6.5
2021,12.9,27.7,46.4,7.2,5.7
2022,23.1,31.8,27.6,10.4,7.1
2023,22.0,31.2,28.7,10.5,7.6
2024,24.6,30.7,27.2,10.3,7.2
2025,25.4,29.9,27.4,9.4,7.9
