,capital_ye_trn,capital_avg_trn,gdp_trn,cap_gdp_pct,cash_trn,cash_gdp_pct,cash_yield_pct,usd_per_hour,cash_bn_hours,hours_per_inhabitant,panel_hours_bn,cash_share_panel_hours_pct
1975,3.404,,6.048,56.28,0.25,4.136,7.349,1.892,132.249,32.558,,
1976,3.834,3.619,6.575,58.308,0.26,3.953,6.779,2.054,126.533,30.596,,
1977,4.214,4.024,7.434,56.686,0.298,4.015,7.083,2.353,126.865,30.142,,
1978,4.783,4.499,8.804,54.328,0.371,4.212,7.753,2.776,133.582,31.187,,
1979,5.951,5.367,10.181,58.45,0.476,4.676,8.0,3.078,154.692,35.48,,
1980,6.988,6.47,11.48,60.874,0.633,5.512,9.055,3.353,188.697,42.524,,
1981,7.22,7.104,11.873,60.813,0.789,6.646,10.928,3.353,235.336,52.103,,
1982,8.35,7.785,11.747,71.079,0.744,6.337,8.916,3.252,228.932,49.775,,
1983,9.558,8.954,11.993,79.692,0.877,7.313,9.176,3.256,269.368,57.524,,
1984,10.464,10.011,12.459,83.984,0.975,7.823,9.314,3.241,300.697,63.095,,
1985,13.026,11.745,13.051,99.811,0.997,7.637,7.651,3.618,275.47,56.792,,
1986,15.958,14.492,15.398,103.641,1.002,6.505,6.276,4.111,243.639,49.345,,
1987,18.407,17.183,17.533,104.989,1.287,7.342,6.993,4.798,268.285,53.371,,
1988,20.836,19.622,19.598,106.317,1.404,7.166,6.74,5.119,274.331,53.613,,
1989,23.625,22.23,20.468,115.426,1.401,6.846,5.931,5.243,267.277,51.327,,
1990,24.466,24.046,22.992,106.412,1.687,7.336,6.894,5.939,284.016,53.598,,
1991,27.337,25.902,23.998,113.912,1.676,6.984,6.131,6.214,269.728,50.059,,
1992,27.901,27.619,25.631,108.853,1.673,6.526,5.995,6.399,261.383,47.725,,
1993,31.685,29.793,26.071,121.531,1.545,5.925,4.875,6.652,232.186,41.727,,
1994,34.743,33.214,28.066,123.79,2.128,7.583,6.126,7.173,296.703,52.509,,
1995,39.324,37.034,31.338,125.485,1.92,6.128,4.883,7.636,251.475,43.84,,
1996,42.601,40.963,32.065,132.858,2.106,6.568,4.943,7.712,273.082,46.903,,
1997,44.32,43.46,31.955,138.696,1.954,6.115,4.409,7.301,267.639,45.3,,
1998,48.983,46.651,31.781,154.127,1.906,5.997,3.891,7.62,250.089,41.725,,
1999,57.625,53.304,32.829,175.532,2.532,7.714,4.395,7.675,329.975,54.29,,
2000,56.171,56.898,33.966,165.376,2.378,7.002,4.234,7.568,314.262,51.004,,
2001,54.491,55.331,33.748,161.465,2.395,7.095,4.394,7.613,314.537,50.368,4245.894,7.408
2002,56.539,55.515,35.048,161.316,2.434,6.945,4.305,8.172,297.839,47.073,4290.781,6.941
2003,69.306,62.922,39.288,176.403,2.782,7.081,4.014,9.316,298.618,46.591,4345.232,6.872
2004,79.437,74.372,44.265,179.459,3.067,6.929,3.861,10.257,299.008,46.055,4421.695,6.762
2005,82.59,81.014,47.938,172.284,3.218,6.713,3.897,10.233,314.485,47.827,4459.224,7.052
2006,95.166,88.878,51.966,183.133,3.68,7.082,3.867,11.295,325.815,48.925,4502.199,7.237
2007,111.059,103.113,58.574,189.604,4.307,7.353,3.878,12.557,343.011,50.861,4548.629,7.541
2008,96.096,103.578,64.379,149.266,4.18,6.493,4.35,12.101,345.454,50.578,4584.098,7.536
2009,110.29,103.193,61.049,180.657,4.33,7.093,3.926,13.353,324.293,46.889,4577.21,7.085
2010,119.193,114.742,66.894,178.183,4.138,6.186,3.471,13.988,295.811,42.254,4626.714,6.394
2011,116.224,117.709,74.389,156.239,3.529,4.744,3.036,14.586,241.926,34.138,4672.748,5.177
2012,122.799,119.512,76.055,161.46,3.436,4.518,2.798,15.139,226.97,31.627,4694.984,4.834
2013,126.72,124.76,78.171,162.106,3.958,5.064,3.124,15.264,259.336,35.695,4743.287,5.467
2014,124.844,125.782,80.244,155.581,3.266,4.07,2.616,14.662,222.749,30.291,4778.432,4.662
2015,119.165,122.004,75.839,157.128,3.35,4.418,2.812,13.979,239.683,32.211,4803.044,4.99
2016,122.056,120.61,77.085,158.34,3.422,4.439,2.803,14.256,240.02,31.883,4819.608,4.98
2017,137.879,129.968,82.11,167.92,3.511,4.276,2.546,15.671,224.047,29.427,4846.723,4.623
2018,133.06,135.47,87.311,152.398,3.793,4.344,2.85,15.649,242.364,31.492,4887.956,4.958
2019,143.268,138.164,88.796,161.345,3.421,3.853,2.388,16.166,211.619,27.21,5031.844,4.206
2020,163.68,153.474,86.389,189.469,2.893,3.349,1.767,17.561,164.743,20.976,4843.157,3.402
2021,175.365,169.522,98.78,177.531,3.646,3.691,2.079,18.255,199.738,25.221,4988.136,4.004
2022,165.139,170.252,102.862,160.544,5.371,5.222,3.252,18.337,292.915,36.667,5166.686,5.669
2023,180.82,172.98,107.349,168.442,5.92,5.515,3.274,19.022,311.218,38.599,5281.185,5.893
2024,194.605,187.712,111.669,174.268,6.413,5.743,3.295,19.317,332.0,40.782,,
2025,231.212,212.908,118.35,195.363,7.263,6.137,3.141,21.036,345.269,42.027,,
